stage,layer_id,mem_available_bytes,swap_used_bytes,cuda_free_bytes,cuda_total_bytes,torch_allocated_bytes,torch_reserved_bytes,torch_max_allocated_bytes,torch_max_reserved_bytes
before_load,-1,5012160512,1924288512,4997529600,7989940224,0,0,0,0
after_load,-1,4032475136,1924288512,4032475136,7989940224,1192638976,1509949440,1503803392,1509949440
prefill,0,3708715008,1924288512,3708715008,7989940224,1201210368,1509949440,1503803392,1509949440
prefill,1,3708452864,1924288512,3708452864,7989940224,1201243136,1509949440,1503803392,1509949440
prefill,2,3708452864,1924288512,3708452864,7989940224,1201275904,1509949440,1503803392,1509949440
prefill,3,3708690432,1924288512,3708686336,7989940224,1201308672,1509949440,1503803392,1509949440
decode_8_to_9,0,3626434560,1924288512,3626430464,7989940224,1201315328,1509949440,1503803392,1509949440
decode_8_to_9,1,3626434560,1924288512,3626430464,7989940224,1201319424,1509949440,1503803392,1509949440
decode_8_to_9,2,3626434560,1924288512,3626430464,7989940224,1201323520,1509949440,1503803392,1509949440
decode_8_to_9,3,3626176512,1924288512,3626172416,7989940224,1201327616,1509949440,1503803392,1509949440
