stage,layer_id,mem_available_bytes,swap_used_bytes,cuda_free_bytes,cuda_total_bytes,torch_allocated_bytes,torch_reserved_bytes,torch_max_allocated_bytes,torch_max_reserved_bytes
before_load,-1,5047365632,1924026368,5030600704,7989940224,0,0,0,0
after_load,-1,4164608000,1924026368,4162367488,7989940224,1192638976,1509949440,1503803392,1509949440
prefill,0,3680210944,1924026368,3680210944,7989940224,1201210368,1509949440,1503803392,1509949440
prefill,1,3679952896,1924026368,3679952896,7989940224,1201243136,1509949440,1503803392,1509949440
prefill,2,3679952896,1924026368,3679952896,7989940224,1201275904,1509949440,1503803392,1509949440
prefill,3,3679952896,1924026368,3679952896,7989940224,1201308672,1509949440,1503803392,1509949440
prefill,4,3679952896,1924026368,3679952896,7989940224,1201341440,1509949440,1503803392,1509949440
prefill,5,3679952896,1924026368,3679952896,7989940224,1201374208,1509949440,1503803392,1509949440
prefill,6,3679952896,1924026368,3679952896,7989940224,1201406976,1509949440,1503803392,1509949440
prefill,7,3679952896,1924026368,3679952896,7989940224,1201439744,1509949440,1503803392,1509949440
prefill,8,3679952896,1924026368,3679952896,7989940224,1201472512,1509949440,1503803392,1509949440
prefill,9,3679694848,1924026368,3679694848,7989940224,1201505280,1509949440,1503803392,1509949440
prefill,10,3679694848,1924026368,3679694848,7989940224,1201538048,1509949440,1503803392,1509949440
prefill,11,3679694848,1924026368,3679694848,7989940224,1201570816,1509949440,1503803392,1509949440
prefill,12,3679694848,1924026368,3679694848,7989940224,1201603584,1509949440,1503803392,1509949440
prefill,13,3679694848,1924026368,3679694848,7989940224,1201636352,1509949440,1503803392,1509949440
prefill,14,3679694848,1924026368,3679694848,7989940224,1201669120,1509949440,1503803392,1509949440
prefill,15,3679694848,1924026368,3679694848,7989940224,1201701888,1509949440,1503803392,1509949440
prefill,16,3679694848,1924026368,3679694848,7989940224,1201734656,1509949440,1503803392,1509949440
prefill,17,3679694848,1924026368,3679694848,7989940224,1201767424,1509949440,1503803392,1509949440
prefill,18,3679694848,1924026368,3679694848,7989940224,1201800192,1509949440,1503803392,1509949440
prefill,19,3679694848,1924026368,3679694848,7989940224,1201832960,1509949440,1503803392,1509949440
prefill,20,3679694848,1924026368,3679694848,7989940224,1201865728,1509949440,1503803392,1509949440
prefill,21,3679694848,1924026368,3679694848,7989940224,1201898496,1509949440,1503803392,1509949440
prefill,22,3679694848,1924026368,3679694848,7989940224,1201931264,1509949440,1503803392,1509949440
