Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.4,169385376,122,1388404.7,659232.0,82624,3192608,1131693.0,cuModuleLoadData
29.8,92655968,126,735364.8,56704.0,27616,1877472,783744.1,cuModuleUnload
11.1,34513536,14,2465252.6,13584.0,2688,21902112,6265913.9,cudaStreamSynchronize
1.2,3722688,195,19090.7,19776.0,11904,30400,3359.4,cuLaunchKernelEx
1.0,3014720,225,13398.8,12000.0,8512,77696,7060.3,cuLaunchKernel
0.9,2860128,56,51073.7,48496.0,44512,93344,7843.7,cuMemcpyDtoH_v2
0.7,2038048,4,509512.0,478064.0,277280,804640,223772.0,cuModuleLoadFatBinary
0.3,1051616,852,1234.3,1120.0,960,22848,839.5,cudaEventCreateWithFlags
0.3,946624,852,1111.1,992.0,736,37920,1431.7,cudaEventDestroy
0.1,391232,6,65205.3,18928.0,7392,300352,115400.6,cudaMalloc
0.1,166048,9,18449.8,18144.0,1888,72384,22126.7,cudaFree
0.0,81856,2,40928.0,40928.0,34336,47520,9322.5,cudaMemcpyAsync
0.0,78048,2,39024.0,39024.0,24480,53568,20568.3,cudaLaunchKernel
0.0,64416,4,16104.0,11888.0,7840,32800,11301.3,cuStreamCreate
0.0,62592,8,7824.0,784.0,352,57984,20269.5,cudaMemsetAsync
0.0,61984,4,15496.0,12208.0,10880,26688,7498.5,cudaStreamCreate
0.0,36928,4,9232.0,7568.0,6912,14880,3794.4,cuStreamDestroy_v2
0.0,36480,5,7296.0,7392.0,4704,10336,2041.7,cudaStreamIsCapturing_v10000
0.0,36384,4,9096.0,6448.0,5696,17792,5808.9,cudaStreamDestroy
0.0,28704,4,7176.0,4368.0,3840,16128,5973.5,cuEventCreate
0.0,20256,8,2532.0,1904.0,1536,6624,1726.3,cuCtxSetCurrent
0.0,8896,4,2224.0,1920.0,1664,3392,808.9,cuEventDestroy_v2
0.0,3840,4,960.0,960.0,704,1216,210.6,cuModuleGetLoadingMode
