Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.7,21372192,6,3562032.0,447648.0,11104,10134528,5033312.4,cudaStreamSynchronize
18.0,5952064,195,30523.4,29728.0,20064,102944,7406.3,cuLaunchKernelEx
12.9,4246752,225,18874.5,18624.0,9472,135264,9816.5,cuLaunchKernel
3.7,1217920,1,1217920.0,1217920.0,1217920,1217920,0.0,cudaMalloc
0.3,115104,2,57552.0,57552.0,46240,68864,15997.6,cudaMemcpyAsync
0.2,68768,2,34384.0,34384.0,32448,36320,2737.9,cudaLaunchKernel
0.1,35456,5,7091.2,6176.0,3968,10368,2721.2,cudaStreamIsCapturing_v10000
