Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
80.9,32280320,6,5380053.3,11264.0,6240,22137376,9149402.5,cudaStreamSynchronize
10.2,4061792,250,16247.2,14544.0,11200,70400,6050.2,cuLaunchKernelEx
7.6,3020768,250,12083.1,10560.0,8320,59488,5090.4,cuLaunchKernel
0.5,198176,86,2304.4,2080.0,1568,7840,782.8,cuEventRecord
0.5,196576,114,1724.4,1728.0,1088,6656,560.9,cuStreamWaitEvent
0.2,86816,2,43408.0,43408.0,25760,61056,24958.0,cudaMemcpyAsync
0.1,56192,1,56192.0,56192.0,56192,56192,0.0,cudaLaunchKernel
0.1,25056,4,6264.0,6320.0,4224,8192,1622.5,cudaStreamIsCapturing_v10000
