isl,osl,trial_id,prefill_gpu_ms,prefill_tokens_per_second,inference_ttft_ms,tpot_ms,decode_tokens_per_second,e2e_ms,e2e_output_tokens_per_second,timing_accounting_error_ms,cache_growth_valid,output_token_count,memavailable_before_bytes,memavailable_after_bytes,swap_used_before_bytes,swap_used_after_bytes,torch_max_allocated_after_bytes,torch_max_reserved_after_bytes
32,32,1,128.81561279296875,248.41709251059575,129.02434,125.31562051612903,7.97985116206078,4013.808576,7.972477858396005,9.534805999999662,True,32,2709458944,2711379968,378535936,378535936,1214974976,1518338048
32,32,2,128.6234588623047,248.78820926637474,128.832664,125.40413877419356,7.9742184729694605,4016.360966,7.967411363393874,9.616859000000204,True,32,2711379968,2711552000,378535936,378535936,1214974976,1518338048
32,32,3,129.21286010742188,247.65336804244262,129.637916,125.11325070967742,7.9927585154068,4008.148688,7.983735757060318,9.431571000000076,True,32,2711552000,2711552000,378535936,378535936,1214974976,1518338048
32,32,4,129.6399383544922,246.8375132399248,129.839341,125.13271693548388,7.991515124822084,4008.953566,7.98213286165061,9.312690000000202,True,32,2711552000,2711322624,378535936,378535936,1214974976,1518338048
32,32,5,128.44374084472656,249.13631282885362,128.644308,125.05258167741935,7.996636187644331,4005.27434,7.989465211014735,9.486007000000427,True,32,2711322624,2711334912,378535936,378535936,1214974976,1518338048
32,32,6,128.87770080566406,248.29741530113972,129.087628,125.28025416129033,7.982103857424841,4012.775507,7.974530332977334,9.804033000000345,True,32,2711334912,2711138304,378535936,378535936,1214974976,1518338048
32,32,7,128.84060668945312,248.3689018721418,129.046357,125.61957690322579,7.960542653080062,4023.253241,7.953762312025439,9.820037000000411,True,32,2711138304,2712035328,378535936,378535936,1214974976,1518338048
32,32,8,128.50064086914062,249.02599538462525,129.166243,124.79331958064515,8.013249454060482,3997.75915,8.004484212111677,9.589308999998138,True,32,2712035328,2712047616,378535936,378535936,1214974976,1518338048
32,32,9,128.7535400390625,248.5368556879409,128.963912,125.29546303225806,7.981134957317202,4013.123266,7.9738392964677995,9.781158999999661,True,32,2712047616,2710745088,378535936,378535936,1214974976,1518338048
32,32,10,129.4692840576172,247.16287135533375,129.676553,124.98471603225806,8.00097829355314,4004.20275,7.991603322284318,9.62041600000066,True,32,2710745088,2710749184,378535936,378535936,1214974976,1518338048
128,32,1,129.1643524169922,990.9854971963688,129.595897,121.10893854838709,8.257028853410901,3883.972992,8.238986230314136,8.527470999999423,True,32,2567368704,2567110656,378535936,378535936,1255943168,1533018112
128,32,2,128.05909729003906,999.5385154878516,128.257463,121.11321587096775,8.256737242163442,3882.767155,8.24154494013175,8.481737000000066,True,32,2567110656,2567110656,378535936,378535936,1255943168,1533018112
128,32,3,128.7106170654297,994.4789553369288,128.905012,121.39651216129032,8.237468953567431,3892.196889,8.22157791925618,8.266118999999435,True,32,2567110656,2567143424,378535936,378535936,1255943168,1533018112
128,32,4,129.31497192382812,989.831247656283,129.509998,121.2089102580645,8.250218551349992,3886.986216,8.232599299755273,8.293421000000762,True,32,2567143424,2567155712,378535936,378535936,1255943168,1533018112
128,32,5,128.02394104003906,999.8129956018806,128.458068,120.82000938709677,8.276774725253391,3873.878359,8.260455552419684,8.091174999999112,True,32,2567155712,2567159808,378535936,378535936,1255943168,1533018112
128,32,6,124.71247863769531,1026.3608052555458,124.87041,121.13037522580645,8.255567591001345,3879.912042,8.247609650322069,8.296906999999464,True,32,2567159808,2567172096,378535936,378535936,1255943168,1533018112
128,32,7,128.86550903320312,993.2836253882323,129.044344,121.17266638709678,8.25268626841479,3885.397002,8.235966616417336,8.426543999999012,True,32,2567172096,2565767168,378535936,378535936,1255943168,1533018112
128,32,8,128.74557495117188,994.2089275576684,128.940125,121.16279374193547,8.253358717775187,3884.986731,8.23683636926172,8.403857000000244,True,32,2565767168,2565537792,378535936,378535936,1255943168,1533018112
128,32,9,127.75142669677734,1001.9457575515979,127.935492,121.25242364516129,8.247257827410085,3886.760625,8.23307712704844,8.36670199999935,True,32,2565537792,2565287936,378535936,378535936,1255943168,1533018112
128,32,10,127.99727630615234,1000.0212793109843,128.18914,121.24817687096774,8.247546691478913,3886.882623,8.232818714577377,8.216875000000982,True,32,2565287936,2565296128,378535936,378535936,1255943168,1533018112
512,32,1,295.19976806640625,1734.418706876571,295.430545,118.5950368064516,8.432056070204784,3971.876686,8.05664488849642,9.22924699999976,True,32,2545381376,2545750016,376963072,376700928,1420926976,1574961152
512,32,2,302.2436828613281,1693.9973572083218,302.458546,118.83947151612904,8.41471261393382,3986.482163,8.027127349773119,8.939162000001488,True,32,2545750016,2545762304,376700928,376700928,1420926976,1574961152
512,32,3,311.82781982421875,1641.931756725942,312.030766,118.4059635483871,8.445520563593451,3982.615636,8.034920495651868,9.09951700000056,True,32,2545504256,2546634752,376700928,376700928,1420926976,1574961152
512,32,4,301.1408386230469,1700.2011495388579,301.466569,118.38104477419354,8.447298314586211,3971.278957,8.057857518066061,8.68311999999969,True,32,2546634752,2546647040,376700928,376700928,1420926976,1574961152
512,32,5,292.1866455078125,1752.3045897945055,292.470395,118.49420561290324,8.439231225084534,3965.790769,8.069008645170912,9.066620000000967,True,32,2546647040,2546655232,376700928,376700928,1420926976,1574961152
512,32,6,302.1258850097656,1694.6578409971414,302.461413,117.99636177419356,8.47483757095556,3960.348628,8.0800967303124,8.485705000000962,True,32,2546655232,2546409472,376700928,376700928,1420926976,1574961152
512,32,7,300.7264709472656,1702.5438378844362,301.135459,118.41659703225805,8.44476217913599,3972.049967,8.056293416713707,8.816886000000522,True,32,2546409472,2544242688,376700928,376700928,1420926976,1574961152
512,32,8,292.9328918457031,1747.8405950728345,293.122006,118.30253222580644,8.452904440720506,3960.500505,8.079786875320698,8.695377999999437,True,32,2544242688,2544250880,376700928,376700928,1420926976,1574961152
512,32,9,305.6921081542969,1674.8878572343451,305.880931,118.46351293548386,8.441417743070033,3978.249832,8.04373816410432,8.647793999999976,True,32,2544250880,2544254976,376700928,376700928,1420926976,1574961152
512,32,10,278.5419616699219,1838.1431541963893,278.933306,118.62787438709677,8.429721978637852,3956.397412,8.088166245115318,8.755671999999777,True,32,2544254976,2544267264,376700928,376700928,1420926976,1574961152
1024,32,1,612.04931640625,1673.067794622478,612.252002,115.19939370967741,8.680601241011516,4183.433207,7.649219771563572,8.070521999999983,True,32,2420486144,2420531200,538181632,538181632,1638472704,1891631104
1024,32,2,613.6203002929688,1668.784425011849,613.815326,115.61736761290324,8.64921958220053,4197.953722,7.622761497417002,8.142334000000574,True,32,2420531200,2420539392,538181632,538181632,1638472704,1891631104
1024,32,3,615.1986083984375,1664.5031149628342,615.399647,115.72959764516128,8.640831907720804,4203.017174,7.61357821660902,7.860399999998663,True,32,2420539392,2420559872,538181632,538181632,1638472704,1891631104
1024,32,4,612.7657470703125,1671.1116848417769,612.962579,115.38412158064517,8.666703756990273,4189.870348,7.637467831259966,7.607326000000285,True,32,2420559872,2420301824,538181632,538181632,1638472704,1891631104
1024,32,5,622.71630859375,1644.4085145488632,622.928601,115.46676470967743,8.660500729489899,4202.398307,7.614699431678597,7.899720000000798,True,32,2420301824,2420301824,538181632,538181632,1638472704,1891631104
1024,32,6,618.1842651367188,1656.464031438151,618.389296,115.12037951612903,8.686559271287793,4187.121061,7.642482635158755,7.85706700000037,True,32,2420301824,2420334592,538181632,538181632,1638472704,1891631104
1024,32,7,611.4332885742188,1674.7534344880569,611.628936,115.68830822580645,8.643915840208745,4197.966491,7.622738311181055,7.739939000000049,True,32,2420334592,2420346880,538181632,538181632,1638472704,1891631104
1024,32,8,621.9429321289062,1646.4533112304296,622.293563,115.11676322580644,8.68683215179059,4190.913223,7.635567308905839,7.623447999998916,True,32,2420346880,2420367360,538181632,538181632,1638472704,1891631104
1024,32,9,610.6101684570312,1677.011050417938,610.960269,115.80718177419355,8.635043048969523,4200.982904,7.617264990421869,8.173240999999962,True,32,2420109312,2420125696,538181632,538181632,1638472704,1891631104
1024,32,10,624.552490234375,1639.5739605741142,624.765841,115.66068267741936,8.6459804390834,4210.247004,7.600504191226307,8.04485399999976,True,32,2420125696,2420142080,538181632,538181632,1638472704,1891631104
