09-01-2026 14:59:15 RAM 3033/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C soc2@48.531C soc0@49.062C gpu@49.812C tj@49.812C soc1@49.125C VDD_IN 5506mW/5576mW VDD_CPU_GPU_CV 1107mW/1115mW VDD_SOC 1584mW/1592mW
09-01-2026 14:59:15 RAM 3034/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.531C soc2@48.531C soc0@49.031C gpu@49.812C tj@49.812C soc1@49.25C VDD_IN 5467mW/5569mW VDD_CPU_GPU_CV 1107mW/1115mW VDD_SOC 1584mW/1591mW
09-01-2026 14:59:15 RAM 3034/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C soc2@48.531C soc0@49.093C gpu@49.812C tj@49.812C soc1@48.968C VDD_IN 5467mW/5564mW VDD_CPU_GPU_CV 1107mW/1114mW VDD_SOC 1584mW/1591mW
09-01-2026 14:59:15 RAM 3035/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@49.437C soc2@48.468C soc0@49.187C gpu@49.843C tj@49.843C soc1@49.093C VDD_IN 5467mW/5559mW VDD_CPU_GPU_CV 1107mW/1114mW VDD_SOC 1584mW/1591mW
09-01-2026 14:59:16 RAM 3035/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,4%@1344,4%@729,0%@729] GR3D_FREQ 0% cpu@49.312C soc2@48.531C soc0@49.125C gpu@49.875C tj@49.875C soc1@49.125C VDD_IN 5467mW/5554mW VDD_CPU_GPU_CV 1107mW/1113mW VDD_SOC 1584mW/1590mW
09-01-2026 14:59:16 RAM 3035/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.25C soc2@48.437C soc0@49.093C gpu@50.156C tj@50.156C soc1@49.156C VDD_IN 5506mW/5552mW VDD_CPU_GPU_CV 1067mW/1111mW VDD_SOC 1624mW/1592mW
09-01-2026 14:59:16 RAM 3036/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [4%@1344,100%@1344,0%@1344,4%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.312C soc2@48.437C soc0@49.062C gpu@49.875C tj@49.875C soc1@49.125C VDD_IN 5506mW/5550mW VDD_CPU_GPU_CV 1067mW/1109mW VDD_SOC 1584mW/1592mW
09-01-2026 14:59:16 RAM 3038/7620MB (lfb 7x4MB) SWAP 6/3810MB (cached 0MB) CPU [4%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.468C soc2@48.562C soc0@49.062C gpu@49.875C tj@49.875C soc1@49C VDD_IN 5506mW/5548mW VDD_CPU_GPU_CV 1067mW/1107mW VDD_SOC 1584mW/1591mW
09-01-2026 14:59:16 RAM 3060/7620MB (lfb 4x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,90%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.281C soc2@48.531C soc0@49.156C gpu@49.906C tj@49.906C soc1@49.125C VDD_IN 5506mW/5546mW VDD_CPU_GPU_CV 1067mW/1106mW VDD_SOC 1584mW/1591mW
09-01-2026 14:59:17 RAM 3141/7620MB (lfb 33x1MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,95%@1344,5%@1344,0%@1344,0%@729,9%@729] GR3D_FREQ 0% cpu@49.375C soc2@48.5C soc0@49.156C gpu@49.75C tj@49.75C soc1@49.093C VDD_IN 5585mW/5548mW VDD_CPU_GPU_CV 1107mW/1106mW VDD_SOC 1624mW/1592mW
09-01-2026 14:59:17 RAM 3188/7620MB (lfb 21x1MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,14%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.375C soc2@48.468C soc0@49.031C gpu@50.062C tj@50.062C soc1@49.156C VDD_IN 5665mW/5552mW VDD_CPU_GPU_CV 1107mW/1106mW VDD_SOC 1624mW/1593mW
09-01-2026 14:59:17 RAM 3163/7620MB (lfb 1x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,4%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.406C soc2@48.531C soc0@49.031C gpu@49.875C tj@49.875C soc1@49.093C VDD_IN 5744mW/5559mW VDD_CPU_GPU_CV 1107mW/1106mW VDD_SOC 1661mW/1596mW
09-01-2026 14:59:17 RAM 3162/7620MB (lfb 1x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.25C soc2@48.468C soc0@49.156C gpu@49.781C tj@49.781C soc1@49.156C VDD_IN 5665mW/5563mW VDD_CPU_GPU_CV 1028mW/1103mW VDD_SOC 1624mW/1597mW
09-01-2026 14:59:17 RAM 3153/7620MB (lfb 4x4MB) SWAP 6/3810MB (cached 0MB) CPU [5%@1344,95%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.437C soc2@48.562C soc0@49.156C gpu@49.812C tj@49.812C soc1@49.093C VDD_IN 5625mW/5565mW VDD_CPU_GPU_CV 1067mW/1102mW VDD_SOC 1624mW/1598mW
09-01-2026 14:59:18 RAM 3159/7620MB (lfb 4x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.562C soc2@48.468C soc0@49.25C gpu@50.156C tj@50.156C soc1@49.031C VDD_IN 5625mW/5567mW VDD_CPU_GPU_CV 1067mW/1101mW VDD_SOC 1624mW/1599mW
09-01-2026 14:59:18 RAM 3164/7620MB (lfb 4x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.218C soc2@48.531C soc0@49.187C gpu@50C tj@50C soc1@49C VDD_IN 5665mW/5570mW VDD_CPU_GPU_CV 1028mW/1098mW VDD_SOC 1624mW/1600mW
09-01-2026 14:59:18 RAM 3169/7620MB (lfb 4x4MB) SWAP 6/3810MB (cached 0MB) CPU [4%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C soc2@48.437C soc0@49.281C gpu@49.781C tj@49.781C soc1@49.125C VDD_IN 5625mW/5572mW VDD_CPU_GPU_CV 1028mW/1096mW VDD_SOC 1624mW/1600mW
09-01-2026 14:59:18 RAM 3176/7620MB (lfb 4x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,95%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.406C soc2@48.437C soc0@49.125C gpu@49.875C tj@49.875C soc1@49.125C VDD_IN 5585mW/5572mW VDD_CPU_GPU_CV 1067mW/1095mW VDD_SOC 1624mW/1601mW
09-01-2026 14:59:19 RAM 3178/7620MB (lfb 4x4MB) SWAP 6/3810MB (cached 0MB) CPU [0%@1344,95%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.625C soc2@48.5C soc0@49.093C gpu@49.843C tj@49.843C soc1@49.218C VDD_IN 5585mW/5573mW VDD_CPU_GPU_CV 1067mW/1094mW VDD_SOC 1624mW/1602mW
