09-01-2026 15:00:25 RAM 3565/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,95%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.25C soc2@48.468C soc0@49.031C gpu@50.125C tj@50.125C soc1@49.156C VDD_IN 5506mW/5634mW VDD_CPU_GPU_CV 1067mW/1125mW VDD_SOC 1584mW/1612mW
09-01-2026 15:00:25 RAM 3569/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,68%@1344,15%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.531C soc2@48.5C soc0@49.031C gpu@49.937C tj@49.937C soc1@48.937C VDD_IN 5506mW/5626mW VDD_CPU_GPU_CV 1067mW/1121mW VDD_SOC 1584mW/1610mW
09-01-2026 15:00:25 RAM 3570/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,80%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.437C soc2@48.406C soc0@49.093C gpu@49.812C tj@49.812C soc1@48.968C VDD_IN 5427mW/5615mW VDD_CPU_GPU_CV 1030mW/1116mW VDD_SOC 1584mW/1609mW
09-01-2026 15:00:25 RAM 3570/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1344,0%@1344,80%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.375C soc2@48.406C soc0@49.125C gpu@49.75C tj@49.75C soc1@48.937C VDD_IN 5387mW/5603mW VDD_CPU_GPU_CV 1030mW/1112mW VDD_SOC 1584mW/1607mW
09-01-2026 15:00:25 RAM 3570/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,0%@1344,80%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.406C soc2@48.343C soc0@49.343C gpu@49.937C tj@49.937C soc1@48.968C VDD_IN 5387mW/5593mW VDD_CPU_GPU_CV 1030mW/1107mW VDD_SOC 1584mW/1606mW
09-01-2026 15:00:26 RAM 3571/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1344,0%@1344,80%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.375C soc2@48.406C soc0@49.031C gpu@50.062C tj@50.062C soc1@49.093C VDD_IN 5356mW/5581mW VDD_CPU_GPU_CV 1030mW/1104mW VDD_SOC 1584mW/1605mW
09-01-2026 15:00:26 RAM 3571/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,85%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.437C soc0@49.062C gpu@49.843C tj@49.843C soc1@49.093C VDD_IN 5387mW/5572mW VDD_CPU_GPU_CV 1030mW/1100mW VDD_SOC 1584mW/1604mW
09-01-2026 15:00:26 RAM 3572/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.656C soc2@48.468C soc0@49.125C gpu@49.812C tj@49.812C soc1@49.125C VDD_IN 5427mW/5566mW VDD_CPU_GPU_CV 1069mW/1099mW VDD_SOC 1584mW/1603mW
09-01-2026 15:00:26 RAM 3572/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,4%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.562C soc2@48.406C soc0@49.156C gpu@50.031C tj@50.031C soc1@48.968C VDD_IN 5506mW/5564mW VDD_CPU_GPU_CV 1028mW/1096mW VDD_SOC 1624mW/1604mW
09-01-2026 15:00:26 RAM 3572/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.468C soc0@49.093C gpu@49.968C tj@49.968C soc1@48.937C VDD_IN 5506mW/5561mW VDD_CPU_GPU_CV 1067mW/1095mW VDD_SOC 1584mW/1603mW
09-01-2026 15:00:27 RAM 3574/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.718C soc2@48.406C soc0@49.125C gpu@49.812C tj@49.812C soc1@49.062C VDD_IN 5506mW/5559mW VDD_CPU_GPU_CV 1067mW/1094mW VDD_SOC 1584mW/1603mW
09-01-2026 15:00:27 RAM 3580/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [9%@1344,0%@1344,95%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.562C soc2@48.5C soc0@49.062C gpu@50.156C tj@50.156C soc1@49.031C VDD_IN 5506mW/5557mW VDD_CPU_GPU_CV 1067mW/1093mW VDD_SOC 1584mW/1602mW
09-01-2026 15:00:27 RAM 3644/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1344,0%@1344,89%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.5C soc0@49.031C gpu@49.812C tj@49.812C soc1@49.156C VDD_IN 5546mW/5557mW VDD_CPU_GPU_CV 1067mW/1092mW VDD_SOC 1584mW/1601mW
09-01-2026 15:00:27 RAM 3698/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.75C soc2@48.468C soc0@49.062C gpu@50C tj@50C soc1@49.093C VDD_IN 5585mW/5558mW VDD_CPU_GPU_CV 1067mW/1091mW VDD_SOC 1624mW/1602mW
09-01-2026 15:00:27 RAM 3706/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.75C soc2@48.468C soc0@49.187C gpu@49.968C tj@49.968C soc1@49.125C VDD_IN 5704mW/5563mW VDD_CPU_GPU_CV 1067mW/1090mW VDD_SOC 1624mW/1603mW
09-01-2026 15:00:28 RAM 3706/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,4%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.468C soc0@49.125C gpu@49.812C tj@49.812C soc1@49C VDD_IN 5625mW/5565mW VDD_CPU_GPU_CV 1028mW/1088mW VDD_SOC 1624mW/1603mW
09-01-2026 15:00:28 RAM 3691/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,95%@1344,0%@1344,0%@729,4%@729] GR3D_FREQ 0% cpu@49.718C soc2@48.406C soc0@49.187C gpu@50.062C tj@50.062C soc1@48.968C VDD_IN 5546mW/5564mW VDD_CPU_GPU_CV 1028mW/1086mW VDD_SOC 1624mW/1604mW
09-01-2026 15:00:28 RAM 3694/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,0%@1344,90%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.437C soc0@49.187C gpu@50.187C tj@50.187C soc1@49C VDD_IN 5546mW/5564mW VDD_CPU_GPU_CV 1028mW/1085mW VDD_SOC 1624mW/1605mW
09-01-2026 15:00:28 RAM 3701/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,4%@1344,86%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.531C soc2@48.406C soc0@49.031C gpu@50C tj@50C soc1@49.031C VDD_IN 5546mW/5563mW VDD_CPU_GPU_CV 1028mW/1083mW VDD_SOC 1624mW/1605mW
09-01-2026 15:00:28 RAM 3702/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,95%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C soc2@48.375C soc0@49.093C gpu@49.843C tj@49.843C soc1@49.156C VDD_IN 5585mW/5564mW VDD_CPU_GPU_CV 988mW/1080mW VDD_SOC 1624mW/1606mW
09-01-2026 15:00:29 RAM 3708/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,0%@1344,90%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.687C soc2@48.5C soc0@49.062C gpu@49.781C tj@49.781C soc1@49.125C VDD_IN 5546mW/5563mW VDD_CPU_GPU_CV 988mW/1078mW VDD_SOC 1624mW/1606mW
09-01-2026 15:00:29 RAM 3714/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,85%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.593C soc2@48.5C soc0@49.031C gpu@50.062C tj@50.062C soc1@49.031C VDD_IN 5506mW/5562mW VDD_CPU_GPU_CV 988mW/1075mW VDD_SOC 1624mW/1607mW
09-01-2026 15:00:29 RAM 3715/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,95%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.75C soc2@48.406C soc0@49.156C gpu@50.062C tj@50.062C soc1@48.906C VDD_IN 5506mW/5560mW VDD_CPU_GPU_CV 1028mW/1074mW VDD_SOC 1584mW/1606mW
09-01-2026 15:00:29 RAM 3718/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,4%@1344,95%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.468C soc0@49.25C gpu@49.968C tj@49.968C soc1@49.062C VDD_IN 5506mW/5559mW VDD_CPU_GPU_CV 1028mW/1073mW VDD_SOC 1584mW/1606mW
09-01-2026 15:00:29 RAM 3723/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,80%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.531C soc2@48.468C soc0@49.125C gpu@49.812C tj@49.812C soc1@49C VDD_IN 5467mW/5556mW VDD_CPU_GPU_CV 1028mW/1072mW VDD_SOC 1584mW/1605mW
09-01-2026 15:00:30 RAM 3723/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C soc2@48.531C soc0@49.093C gpu@50.125C tj@50.125C soc1@49.218C VDD_IN 5546mW/5556mW VDD_CPU_GPU_CV 949mW/1069mW VDD_SOC 1624mW/1606mW
09-01-2026 15:00:30 RAM 3727/7620MB (lfb 19x4MB) SWAP 281/3810MB (cached 0MB) CPU [9%@1344,0%@1344,86%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.656C soc2@48.5C soc0@49.125C gpu@49.75C tj@49.75C soc1@49.218C VDD_IN 5506mW/5555mW VDD_CPU_GPU_CV 988mW/1067mW VDD_SOC 1624mW/1606mW
09-01-2026 15:00:30 RAM 4018/7620MB (lfb 8x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,4%@729,0%@729] GR3D_FREQ 0% cpu@49.5C soc2@48.5C soc0@49.093C gpu@50.093C tj@50.093C soc1@48.968C VDD_IN 5546mW/5555mW VDD_CPU_GPU_CV 988mW/1065mW VDD_SOC 1624mW/1606mW
09-01-2026 15:00:30 RAM 4310/7620MB (lfb 6x4MB) SWAP 281/3810MB (cached 0MB) CPU [35%@1344,4%@1344,89%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 13% cpu@49.718C soc2@48.468C soc0@49.125C gpu@49.906C tj@49.906C soc1@49.031C VDD_IN 5704mW/5558mW VDD_CPU_GPU_CV 1067mW/1065mW VDD_SOC 1663mW/1608mW
09-01-2026 15:00:30 RAM 4311/7620MB (lfb 6x4MB) SWAP 281/3810MB (cached 0MB) CPU [15%@1344,0%@1344,85%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 39% cpu@49.781C soc2@48.437C soc0@49.343C gpu@49.937C tj@49.937C soc1@49.031C VDD_IN 6021mW/5568mW VDD_CPU_GPU_CV 1107mW/1066mW VDD_SOC 1779mW/1612mW
09-01-2026 15:00:31 RAM 4314/7620MB (lfb 6x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1344,4%@1344,76%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 38% cpu@49.562C soc2@48.5C soc0@49.343C gpu@50.093C tj@50.093C soc1@49.187C VDD_IN 6051mW/5579mW VDD_CPU_GPU_CV 1107mW/1067mW VDD_SOC 1819mW/1616mW
