invocation_id,phase,decode_step,timestamp,query_length,past_kv_length,key_length,tensor_name,tensor_mode,runtime_shape,shape_evidence_level,shape_source_api,engine_or_context_identity,engine_invocation_id,tensor_dtype,shape_sample_time
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l16,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l17,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l18,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l19,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l20,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l21,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l22,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l23,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l24,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l25,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
PHASE6E_20260906T092232_532739Z_WARMUP_PREFILL_S8,WARMUP_PREFILL_S8,-1,2026-09-06T09:22:42.483285+00:00,8,0,8,hidden_l26,TensorIOMode.OUTPUT,"[1,8,1024]",DIRECT_RUNTIME_EVIDENCE,IExecutionContext.get_tensor_shape,mixed_prefill|/tmp/phase2_3e_20260904T020000Z/work/mixed_prefill_28layer.engine|sha256:3258b0a82fd4884a291e2bf0e3dded179434a9d1a5d034c4fc4e9f772c8964ec|persistent_context,PHASE6E_mixed_prefill_0001,DataType.HALF,after_execute_and_stream_sync
