artifact,bytes,sha256,role
/tmp/phase3c_nsys_20260904T093500Z/mixed_persistent.sqlite,3477504,ea9ea0bc4a369647b837def7f98d2bfec2765f1f6f9c9619b4388ab2ab4345a8,REMOTE_RAW_SQLITE
results\phase6a_unknown_attention_matmul_attribution\20260906T040500Z\semantic_attribution.csv,23378,f254b6644077e1d40c090c2c294f6096eab801eecc7cf95137dfa1863b889cda,INPUT_OR_METHOD_EVIDENCE
results\phase6a_unknown_attention_matmul_attribution\20260906T040500Z\runtime_context_attribution.csv,15233,260efc72e58248e3f2b871fed4afefcc78b541e752902ce19566eccd7f68595a,INPUT_OR_METHOD_EVIDENCE
results\phase4a_operator_attribution\20260904T134556Z\runtime_nvtx_kernel_mapping.csv,51718,cb809dd64cd728d93f739866d508b8ca4a881318473871917c7f0f6c1afdb464,INPUT_OR_METHOD_EVIDENCE
results\phase3c_residual_runtime\20260904T093500Z_nsys\analysis\c2_c3_detail.json,23489,dd30907f59a807436ce6281b7e20fa40032172d836208ba74281557582041eed,INPUT_OR_METHOD_EVIDENCE
results\phase3c_residual_runtime\20260904T093500Z_nsys\analysis\c2_fp16_vs_mixed.csv,1166,0a7efa186828e0a0c9229772fadc9e8d19b3aa78266792c8dad40a13e23d140f,INPUT_OR_METHOD_EVIDENCE
results\phase6g_attention_v_runtime_attribution\phase6g_20260906T151718Z\raw_attention_v_events.jsonl,179292,b2bbfec7f9188fed267210f288ca882c89b8c7223d31325f37b563a46af59618,DERIVED_RAW_EVENT_EXPORT
results\phase6g_attention_v_runtime_attribution\phase6g_20260906T151718Z\remote_query.py,4589,c403d1a3df964fc7be7d9916d99e4a28f68c67971e37ca9fc446424694f7d69e,INPUT_OR_METHOD_EVIDENCE
results\phase6g_attention_v_runtime_attribution\phase6g_20260906T151718Z\build_phase6g_outputs.py,10686,97d6e158c07b604fa2130a603276bae67264cc165ea4a0d7539cfba7c14eac55,INPUT_OR_METHOD_EVIDENCE
