NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8672,8672.0,8672.0,8672,8672,0.0,__myl_MulMinMaxRouCas_0x36a6981344c30226a5bbeed5f55c92f7
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8672,8672.0,8672.0,8672,8672,0.0,__myl_MulMinMaxRouCas_0x5d22e06f0128b92bf02f50e9b05f0125
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8672,8672.0,8672.0,8672,8672,0.0,__myl_MulMinMaxRouCas_0x7c03f425cd0cc19febc97cb69c1f2cdb
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8640,8640.0,8640.0,8640,8640,0.0,__myl_MulMinMaxRouCas_0xfffd234660cce4d6758da70fc32eeb17
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8576,8576.0,8576.0,8576,8576,0.0,__myl_MulMinMaxRouCas_0x998f9d85786c1705f75b803510b59e30
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8576,8576.0,8576.0,8576,8576,0.0,__myl_MulMinMaxRouCas_0xa01c797cf706031bf4679ec54cf7b88d
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8544,8544.0,8544.0,8544,8544,0.0,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8480,8480.0,8480.0,8480,8480,0.0,__myl_MulMinMaxRouCas_0x907030f04aaedcd668915c250cbde546
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8448,8448.0,8448.0,8448,8448,0.0,__myl_MulMinMaxRouCas_0xca1e8a983af10962a50c67e0fecf3bd1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8256,8256.0,8256.0,8256,8256,0.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8096,8096.0,8096.0,8096,8096,0.0,__myl_MulMinMaxRouCas_0x0b3337a1cc9120f6d73fd89c494a9e53
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,8064,8064.0,8064.0,8064,8064,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,7968,7968.0,7968.0,7968,7968,0.0,__myl_MulMinMaxRouCas_0x46757e257e41ef1fb92716579e35a0d1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,7968,7968.0,7968.0,7968,7968,0.0,__myl_MulMinMaxRouCas_0xa64eacd40f6a244c6f97851e4148bfa0
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,7904,7904.0,7904.0,7904,7904,0.0,__myl_MulMinMaxRouCas_0x9ee6ac5b9454da6749214d07f11973df
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,7872,7872.0,7872.0,7872,7872,0.0,__myl_MulMinMaxRouCas_0x1fb837ee240f07d62ca7b72c8a105b6f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,2,7872,3936.0,3936.0,3488,4384,633.6,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,7840,7840.0,7840.0,7840,7840,0.0,__myl_MulMinMaxRouCas_0x59f8206e6baa651ad7dab50737cc8951
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,7040,7040.0,7040.0,7040,7040,0.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,6688,6688.0,6688.0,6688,6688,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,6272,6272.0,6272.0,6272,6272,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x5bd2afd5a5411fb85888be6c8200be17
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,6240,6240.0,6240.0,6240,6240,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,5696,5696.0,5696.0,5696,5696,0.0,__myl_MulMinMaxRouCas_0x806abff2303c4adb22dac0953af546a1
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,5664,5664.0,5664.0,5664,5664,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,4896,4896.0,4896.0,4896,4896,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,4864,4864.0,4864.0,4864,4864,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,4832,4832.0,4832.0,4832,4832,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,4800,4800.0,4800.0,4800,4800,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x028e232ad04f9dc415033ab5492ba131
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,4288,4288.0,4288.0,4288,4288,0.0,__myl_MulMinMaxRouCas_0x6a10bd9f6c374e5ad061c0d2824b0a25
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,3520,3520.0,3520.0,3520,3520,0.0,__myl_MulMinMaxRouCas_0xf131f88ee6d7693232e76c9290134799
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,3488,3488.0,3488.0,3488,3488,0.0,__myl_MulMinMaxRouCas_0xa49a3c4e66279a6886312b656336d70d
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,3456,3456.0,3456.0,3456,3456,0.0,__myl_MulMinMaxRouCas_0x2bde768f3e1a80e37132bb2f4be64789
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,3456,3456.0,3456.0,3456,3456,0.0,__myl_MulMinMaxRouCas_0x8dd8f4f93c6a1e7d8a5025e20f21222e
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,675790,675790,1,1,3424,3424.0,3424.0,3424,3424,0.0,__myl_MulMinMaxRouCas_0x56e74360c3e8a36d72970af72bdd3e2b
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,106,9069984,85565.9,85792.0,53408,96288,6740.2,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,8816768,8816768.0,8816768.0,8816768,8816768,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,28,6513216,232614.9,232736.0,227520,239392,2445.6,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,26,6361120,244658.5,242656.0,234560,301056,11906.8,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,27,3824032,141630.8,141376.0,138080,145280,1555.0,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,28,1448480,51731.4,51952.0,50176,52640,577.7,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,28,914624,32665.1,32496.0,31008,33888,724.9,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,27,889952,32961.2,32832.0,30848,34528,761.2,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,27,831616,30800.6,30880.0,27648,32512,1037.8,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,4,821536,205384.0,194736.0,173088,258976,37171.9,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,3,731392,243797.3,243200.0,242784,245408,1410.3,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,26,467264,17971.7,17888.0,17792,18560,191.2,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,28,462176,16506.3,16496.0,15776,16992,257.5,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,27,336416,12459.9,12224.0,11328,13472,554.1,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,27,321664,11913.5,12064.0,11008,13088,547.8,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,27,307360,11383.7,11424.0,9952,12288,525.6,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,38944,38944.0,38944.0,38944,38944,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,27712,27712.0,27712.0,27712,27712,0.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,2,27616,13808.0,13808.0,12480,15136,1878.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,2,26656,13328.0,13328.0,12768,13888,792.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,2,25376,12688.0,12688.0,12640,12736,67.9,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,2,25280,12640.0,12640.0,11360,13920,1810.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,24512,24512.0,24512.0,24512,24512,0.0,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,2,24128,12064.0,12064.0,11488,12640,814.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,19232,19232.0,19232.0,19232,19232,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,2,18304,9152.0,9152.0,8896,9408,362.0,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,17312,17312.0,17312.0,17312,17312,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,15104,15104.0,15104.0,15104,15104,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,675790,675790,1,1,14208,14208.0,14208.0,14208,14208,0.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
