Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
3766.779,12,313.898,311.165,0.002,630.324,268.691,[CUDA memset]
1882.983,18,104.610,0.000,0.000,630.324,215.745,[CUDA memcpy Host-to-Device]
0.021,329,0.000,0.000,0.000,0.000,0.000,[CUDA memcpy Device-to-Host]
