Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
0.0,238368,4,59592.0,28544.0,24960,156320,64527.1,myelin-exec:__myl_FcNegExpAddDivMulMul
0.0,233920,7,33417.1,31104.0,18080,55776,13304.6,myelin-exec:/up_proj_6/MatMul
0.0,204832,4,51208.0,50896.0,47296,55744,3729.1,myelin-exec:/MatMul_1
0.0,198976,4,49744.0,48944.0,38880,62208,9579.2,myelin-exec:/MatMul_2
0.0,196096,4,49024.0,46432.0,40576,62656,9923.3,myelin-exec:/MatMul_4
0.0,193248,4,48312.0,44624.0,37824,66176,12434.1,myelin-exec:/MatMul_26
0.0,192928,4,48232.0,42496.0,38688,69248,14369.6,myelin-exec:/MatMul_14
0.0,192608,4,48152.0,44144.0,37696,66624,12684.4,myelin-exec:/MatMul_36
0.0,192096,4,48024.0,44048.0,43648,60352,8220.9,myelin-exec:/MatMul_16
0.0,191936,4,47984.0,44784.0,36256,66112,12854.4,myelin-exec:/MatMul_10
0.0,189824,4,47456.0,39248.0,34720,76608,19561.2,myelin-exec:/MatMul_7
0.0,189760,4,47440.0,46816.0,36544,59584,10146.6,myelin-exec:/MatMul_32
0.0,188352,4,47088.0,42448.0,35360,68096,14772.9,myelin-exec:/MatMul_20
0.0,186784,4,46696.0,41072.0,36832,67808,14424.3,myelin-exec:/MatMul_22
0.0,186208,4,46552.0,44448.0,39104,58208,8929.2,myelin-exec:/MatMul_34
0.0,186176,4,46544.0,42352.0,37472,64000,12234.0,myelin-exec:/MatMul_18
0.0,185504,4,46376.0,41360.0,38912,63872,11730.9,myelin-exec:/MatMul_12
0.0,185024,4,46256.0,39696.0,38336,67296,14049.6,myelin-exec:/MatMul_40
0.0,184864,4,46216.0,36560.0,34144,77600,20968.8,myelin-exec:/MatMul_37
0.0,184160,4,46040.0,42464.0,40128,59104,8811.3,myelin-exec:/MatMul_44
0.0,183744,4,45936.0,45104.0,39168,54368,6343.7,myelin-exec:/MatMul_38
0.0,183072,4,45768.0,42592.0,39648,58240,8542.7,myelin-exec:/MatMul_46
0.0,182144,4,45536.0,39760.0,38592,64032,12355.7,myelin-exec:/MatMul_54
0.0,181568,4,45392.0,43440.0,34848,59840,10819.9,myelin-exec:/MatMul_5
0.0,180000,4,45000.0,40672.0,39936,58720,9153.2,myelin-exec:/MatMul_52
0.0,179264,4,44816.0,41232.0,38272,58528,9495.1,myelin-exec:/MatMul_30
0.0,177056,4,44264.0,40976.0,35776,59328,10414.9,myelin-exec:/MatMul_50
0.0,176032,4,44008.0,44896.0,39712,46528,3111.1,myelin-exec:/MatMul_6
0.0,175168,4,43792.0,44768.0,39360,46272,3131.6,myelin-exec:/MatMul_28
0.0,173536,8,21692.0,20224.0,15264,29888,5880.6,myelin-exec:__myl_MovResMulMea
0.0,172352,4,43088.0,37632.0,31808,65280,15061.4,myelin-exec:/MatMul_11
0.0,170816,4,42704.0,36448.0,33760,64160,14457.0,myelin-exec:/MatMul_41
0.0,170688,4,42672.0,36496.0,33856,63840,14263.6,myelin-exec:/MatMul_19
0.0,170464,4,42616.0,42432.0,37920,47680,4004.6,myelin-exec:/MatMul_8
0.0,170368,4,42592.0,36288.0,34368,63424,13994.2,myelin-exec:/MatMul_15
0.0,170336,4,42584.0,38112.0,34592,59520,11413.4,myelin-exec:/MatMul_9
0.0,170240,4,42560.0,39488.0,35872,55392,8881.7,myelin-exec:/MatMul_24
0.0,169248,4,42312.0,38064.0,34560,58560,11115.3,myelin-exec:/MatMul_27
0.0,168736,4,42184.0,35424.0,33984,63904,14520.0,myelin-exec:/MatMul_13
0.0,167648,4,41912.0,37088.0,34816,58656,11247.0,myelin-exec:/MatMul_55
0.0,167488,4,41872.0,37616.0,35200,57056,10196.8,myelin-exec:/MatMul_33
0.0,166592,4,41648.0,37024.0,33664,58880,11774.4,myelin-exec:/MatMul_21
0.0,166144,4,41536.0,42496.0,37312,43840,3044.0,myelin-exec:/MatMul_48
0.0,163520,4,40880.0,37232.0,34784,54272,9064.3,myelin-exec:/MatMul_45
0.0,163392,4,40848.0,35456.0,34144,58336,11705.0,myelin-exec:/MatMul_23
0.0,161088,4,40272.0,37248.0,35328,51264,7389.3,myelin-exec:/MatMul_29
0.0,160928,4,40232.0,37392.0,35200,50944,7375.8,myelin-exec:/MatMul_53
0.0,160608,4,40152.0,39264.0,36320,45760,4064.2,myelin-exec:/MatMul_42
0.0,160544,3,53514.7,56000.0,36640,67904,15779.5,myelin-exec:__myl_RepIotIotRepCasAddCasEqlLtOrSel
0.0,160128,4,40032.0,37760.0,34656,49952,6989.3,myelin-exec:/MatMul_35
0.0,159328,4,39832.0,36464.0,32576,53824,9544.2,myelin-exec:/MatMul_25
0.0,159296,4,39824.0,36480.0,33440,52896,8857.8,myelin-exec:/MatMul_43
0.0,159008,4,39752.0,39808.0,36640,42752,2509.7,myelin-exec:/MatMul_3
0.0,158432,4,39608.0,36224.0,35488,50496,7285.7,myelin-exec:/MatMul_47
0.0,157536,4,39384.0,37712.0,35488,46624,4944.2,myelin-exec:/MatMul_39
0.0,152960,4,38240.0,37312.0,33664,44672,4714.8,myelin-exec:/MatMul_31
0.0,152288,4,38072.0,36624.0,34720,44320,4294.5,myelin-exec:/MatMul_17
0.0,151168,4,37792.0,37200.0,35616,41152,2364.1,myelin-exec:/MatMul_51
0.0,150016,4,37504.0,35824.0,32960,45408,5439.6,myelin-exec:/MatMul_49
0.0,119136,4,29784.0,30208.0,22944,35776,5380.1,myelin-exec:__myl_MovResConResRep
0.0,99840,3,33280.0,32448.0,29472,37920,4285.0,myelin-exec:__myl_MovMulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas
0.0,99264,4,24816.0,23648.0,22720,29248,2998.3,myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc
0.0,89088,3,29696.0,20416.0,19968,48704,16462.9,myelin-exec:/gate_proj_27/MatMul
0.0,65472,3,21824.0,22944.0,19328,23200,2165.4,myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc
0.0,60512,3,20170.7,20608.0,17856,22048,2129.9,myelin-exec:__myl_NegExpAddDivMulMul
0.0,58048,3,19349.3,2400.0,2272,53376,29468.0,myelin-exec:__mye726137
0.0,47520,4,11880.0,11344.0,10528,14304,1661.6,myelin-exec:__mye676844
0.0,39648,4,9912.0,2544.0,2144,32416,15006.9,myelin-exec:__mye676912
0.0,38208,3,12736.0,5184.0,3680,29344,14402.6,myelin-exec:__mye725985
0.0,36480,4,9120.0,9264.0,7552,10400,1183.3,myelin-exec:__mye676846
0.0,31648,3,10549.3,9664.0,9024,12960,2112.1,myelin-exec:__mye725921
0.0,29984,3,9994.7,3136.0,2368,24480,12550.5,myelin-exec:__mye726297
0.0,26496,3,8832.0,8256.0,7168,11072,2014.7,myelin-exec:__mye725923
0.0,22720,3,7573.3,4320.0,3808,14592,6083.7,myelin-exec:__mye725935
0.0,21632,4,5408.0,4864.0,4512,7392,1334.1,myelin-exec:__mye676880
0.0,21472,4,5368.0,5280.0,4672,6240,648.7,myelin-exec:__mye676858
0.0,20544,4,5136.0,4928.0,4448,6240,791.4,myelin-exec:__mye676854
0.0,19904,4,4976.0,4448.0,4128,6880,1284.9,myelin-exec:__mye676964
0.0,19872,4,4968.0,4656.0,3936,6624,1155.7,myelin-exec:__mye676978
0.0,18752,4,4688.0,4672.0,3936,5472,690.0,myelin-exec:__mye676856
0.0,18592,4,4648.0,4688.0,3264,5952,1341.8,myelin-exec:__mye677034
0.0,18464,4,4616.0,4320.0,3424,6400,1376.2,myelin-exec:__mye676908
0.0,18432,4,4608.0,4640.0,4000,5152,597.0,myelin-exec:__mye677188
0.0,18304,4,4576.0,3904.0,3520,6976,1613.6,myelin-exec:__mye676936
0.0,18272,4,4568.0,4208.0,3712,6144,1104.6,myelin-exec:__mye677020
0.0,18112,4,4528.0,4176.0,3744,6016,1049.2,myelin-exec:__mye676894
0.0,18112,4,4528.0,4368.0,3840,5536,730.9,myelin-exec:__mye677146
0.0,18112,4,4528.0,4400.0,3776,5536,814.0,myelin-exec:__mye677174
0.0,18112,4,4528.0,4304.0,3776,5728,866.8,myelin-exec:__mye677230
0.0,18016,4,4504.0,4320.0,3776,5600,778.3,myelin-exec:__mye676922
0.0,17664,4,4416.0,4320.0,3424,5600,1156.1,myelin-exec:__mye676852
0.0,17664,4,4416.0,3808.0,3552,6496,1400.7,myelin-exec:__mye676862
0.0,17632,4,4408.0,4176.0,4000,5280,594.3,myelin-exec:__mye677118
0.0,17440,4,4360.0,4112.0,3488,5728,965.5,myelin-exec:__mye676992
0.0,17440,3,5813.3,3104.0,2688,11648,5057.2,myelin-exec:__mye725937
0.0,17376,4,4344.0,4256.0,3488,5376,936.7,myelin-exec:__mye677090
0.0,17344,4,4336.0,4080.0,3616,5568,862.0,myelin-exec:__mye677048
0.0,17216,4,4304.0,3792.0,3456,6176,1261.3,myelin-exec:__mye676950
0.0,17152,4,4288.0,4048.0,3520,5536,958.2,myelin-exec:__mye677202
0.0,17120,4,4280.0,3968.0,3584,5600,904.5,myelin-exec:__mye677076
0.0,17056,4,4264.0,4112.0,3744,5088,583.3,myelin-exec:__mye677062
0.0,17024,4,4256.0,4160.0,3552,5152,783.4,myelin-exec:__mye676848
0.0,16992,4,4248.0,3952.0,3424,5664,1038.0,myelin-exec:__mye677128
0.0,16896,4,4224.0,3968.0,3744,5216,694.2,myelin-exec:__mye677006
0.0,16832,4,4208.0,4064.0,3904,4800,402.7,myelin-exec:__mye677132
0.0,16640,4,4160.0,4448.0,3072,4672,749.6,myelin-exec:__mye676914
0.0,16608,4,4152.0,3952.0,3520,5184,731.8,myelin-exec:__mye677160
0.0,16352,4,4088.0,3296.0,2944,6816,1826.4,myelin-exec:__mye676900
0.0,16320,4,4080.0,3808.0,3648,5056,659.7,myelin-exec:__mye677216
0.0,16032,4,4008.0,3792.0,3360,5088,757.4,myelin-exec:__mye677104
0.0,15904,4,3976.0,4128.0,3136,4512,655.0,myelin-exec:__mye676850
0.0,15904,4,3976.0,3520.0,2560,6304,1657.5,myelin-exec:__mye676918
0.0,15392,3,5130.7,4224.0,3872,7296,1883.5,myelin-exec:__mye725957
0.0,15360,4,3840.0,3872.0,3200,4416,562.2,myelin-exec:__mye676878
0.0,15360,4,3840.0,3520.0,2528,5792,1497.5,myelin-exec:__mye676974
0.0,14848,4,3712.0,3536.0,3168,4608,633.0,myelin-exec:__mye676956
0.0,14752,4,3688.0,3504.0,3328,4416,500.8,myelin-exec:__mye676946
0.0,14752,4,3688.0,3344.0,3008,5056,936.7,myelin-exec:__mye677002
0.0,14720,4,3680.0,3616.0,3360,4128,370.4,myelin-exec:__mye676860
0.0,14656,4,3664.0,3616.0,3008,4416,683.6,myelin-exec:__mye676976
0.0,14560,4,3640.0,3488.0,3232,4352,492.5,myelin-exec:__mye676960
0.0,14528,4,3632.0,3264.0,2944,5056,962.7,myelin-exec:__mye676902
0.0,14464,4,3616.0,3632.0,2976,4224,579.0,myelin-exec:__mye677170
0.0,14432,4,3608.0,3120.0,2880,5312,1158.3,myelin-exec:__mye677182
0.0,14400,4,3600.0,3360.0,2880,4800,835.1,myelin-exec:__mye676970
0.0,14368,4,3592.0,3232.0,3072,4832,836.7,myelin-exec:__mye677016
0.0,14336,4,3584.0,3376.0,2880,4704,782.5,myelin-exec:__mye676932
0.0,14304,4,3576.0,3296.0,3040,4672,762.8,myelin-exec:__mye676988
0.0,14272,4,3568.0,2976.0,2528,5792,1505.8,myelin-exec:__mye676868
0.0,14272,4,3568.0,3408.0,2784,4672,816.5,myelin-exec:__mye677058
0.0,14208,4,3552.0,3328.0,2976,4576,714.6,myelin-exec:__mye677030
0.0,14112,4,3528.0,3312.0,2976,4512,695.9,myelin-exec:__mye677138
0.0,14048,4,3512.0,3200.0,2752,4896,949.8,myelin-exec:__mye676874
0.0,14048,4,3512.0,3440.0,2624,4544,797.0,myelin-exec:__mye676986
0.0,14048,4,3512.0,3456.0,2848,4288,605.7,myelin-exec:__mye677124
0.0,13952,4,3488.0,3280.0,2720,4672,914.5,myelin-exec:__mye677004
0.0,13952,4,3488.0,3552.0,2304,4544,1082.7,myelin-exec:__mye677018
0.0,13952,4,3488.0,3472.0,3232,3776,223.2,myelin-exec:__mye677072
0.0,13952,4,3488.0,3376.0,2816,4384,755.0,myelin-exec:__mye677100
0.0,13920,4,3480.0,3120.0,2688,4992,1052.1,myelin-exec:__mye676920
0.0,13888,4,3472.0,2992.0,2816,5088,1086.9,myelin-exec:__mye676882
0.0,13856,4,3464.0,3136.0,2848,4736,865.1,myelin-exec:__mye676906
0.0,13856,4,3464.0,3616.0,2592,4032,633.2,myelin-exec:__mye676916
0.0,13856,4,3464.0,3312.0,2848,4384,696.9,myelin-exec:__mye677172
0.0,13824,4,3456.0,3232.0,2944,4416,658.9,myelin-exec:__mye677114
0.0,13824,4,3456.0,3456.0,3040,3872,374.1,myelin-exec:__mye677184
0.0,13760,4,3440.0,3472.0,2944,3872,501.6,myelin-exec:__mye676934
0.0,13760,4,3440.0,3232.0,2816,4480,724.8,myelin-exec:__mye677046
