NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,27,445216,16489.5,20256.0,9536,21664,5378.7,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,26,381088,14657.2,17856.0,9024,18144,4270.0,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,28,273632,9772.6,12128.0,5504,13056,3394.4,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,27,253312,9381.9,11040.0,5408,12608,2735.6,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,27,242208,8970.7,10496.0,4384,12000,2832.5,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,27,241888,8958.8,10752.0,5280,14016,2974.1,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,2,20928,10464.0,10464.0,10464,10464,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,2,20832,10416.0,10416.0,10400,10432,22.6,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,2,20736,10368.0,10368.0,10336,10400,45.3,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,2,19232,9616.0,9616.0,6720,12512,4095.6,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,16896,16896.0,16896.0,16896,16896,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,2,16096,8048.0,8048.0,5696,10400,3326.2,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
:PHASE3B_STEADY_DECODE_STEP_0,PushPop,667830,667830,1,1,13664,13664.0,13664.0,13664,13664,0.0,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
