PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
648714,648714,0,252,252,11195600.9,11294528.0,828000,22042688,6141794.5,17863.1,16288.0,13120,76416,4977.8,10919625.1,11042832.0,451264,21784512,6142928.4,258112.6,237024.0,234080,303872,30592.2,cudaLaunchKernel,trt_ampere_h16816gemm_256x64_ldg8_tn_v1
648714,648714,0,112,112,11159903.7,11054528.0,866912,22150144,6384307.8,14791.7,14640.0,11200,30944,2456.8,11132553.7,11026928.0,837472,22123840,6384093.4,12558.3,12512.0,12384,13376,161.6,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
648714,648714,0,81,81,11099459.2,11271360.0,1136384,21345984,5951441.7,14343.5,13408.0,10592,25216,3024.4,11070987.5,11244896.0,1101600,21317792,5951025.0,14128.2,13952.0,13728,15040,385.4,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMul_0x7950617bc96f544a93cba59dd9f0896c_com_vec
648714,648714,0,84,84,11011009.9,11100208.0,771488,21647232,6164848.9,14505.9,13440.0,10720,24032,3121.1,10982260.6,11073760.0,735072,21618944,6164479.5,14243.4,14112.0,13600,15360,483.7,cuLaunchKernel,__myl_MulMeaAddSqrDivMulMul_0xecca72c958a3414a0b497095c432af2e_com_vec
648714,648714,0,84,84,10993507.0,11079344.0,735456,21627200,6163913.6,10366.1,10048.0,8960,15648,1294.7,10961194.7,11048432.0,699648,21594784,6164102.0,21946.3,21760.0,21280,23168,500.2,cuLaunchKernel,_gemm_mha_v2_0xb1de950b39aeff343f8e5a6b250b0cff
648714,648714,0,84,84,10978491.8,11092320.0,739872,21609792,6165404.7,13547.0,12912.0,10592,24544,2246.4,10949891.0,11063984.0,699296,21582720,6165517.2,15053.7,15008.0,14688,16032,256.9,cuLaunchKernel,__myl_ResTraResSliRepRes_0xc9f73409107decab95699693f5f53538_com
648714,648714,0,84,84,10976246.1,11066704.0,716672,21613568,6165288.6,11647.6,11328.0,9664,17984,1296.4,10952786.3,11041952.0,693216,21590016,6164858.3,11812.2,12016.0,9920,12448,532.0,cuLaunchKernel,__myl_ResMulMea_0xae152563f1149376365003f94aabf3c4_com_vec
648714,648714,0,84,84,10975773.3,11089376.0,724800,21607648,6164898.8,15699.8,13424.0,11040,77152,7953.9,10948778.3,11064912.0,697024,21583264,6164765.7,11295.2,11264.0,10912,12288,181.5,cuLaunchKernel,__myl_ResMulMea_0xa004b8b1aee1c828801c9405f41c9d8a_com_vec
648714,648714,0,28,28,10874465.1,10995168.0,913824,20770624,6057292.3,17810.3,16480.0,12160,25280,3523.6,10838674.3,10954416.0,868896,20736576,6057348.5,17980.6,17696.0,17376,19648,590.7,cuLaunchKernel,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a_com
648714,648714,0,28,28,10863638.9,10975840.0,890464,20765312,6055559.6,14142.9,14480.0,10048,17504,2351.7,10836876.6,10950912.0,860448,20739872,6055956.1,12619.4,12560.0,12096,14784,446.6,cuLaunchKernel,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f_com
648714,648714,0,7,7,10771542.9,10771872.0,10760992,10782112,7164.3,73197.7,60320.0,58656,143232,31084.7,583840.0,594304.0,525248,597984,26087.0,10114505.1,10114400.0,10111584,10118560,2188.3,cudaLaunchKernel,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
648714,648714,0,3,1,2033440.0,60000.0,50944,5989376,3425944.1,1978784.0,50784.0,43008,5842560,3346130.4,137184.0,137184.0,137184,137184,0.0,9813.3,9696.0,9632,10112,260.6,cudaLaunchKernel,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
648714,648714,0,4,4,906280.0,908176.0,876832,931936,23062.8,24688.0,24976.0,21248,27552,2773.8,722728.0,724496.0,697440,744480,20080.1,158864.0,158704.0,158144,159904,744.8,cudaLaunchKernel,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
648714,648714,0,1,1,903552.0,903552.0,903552,903552,0.0,16064.0,16064.0,16064,16064,0.0,859392.0,859392.0,859392,859392,0.0,28096.0,28096.0,28096,28096,0.0,cuLaunchKernel,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980_com
648714,648714,0,4,4,849728.0,831952.0,797184,937824,60975.5,31568.0,30496.0,28128,37152,3975.3,516960.0,502432.0,464288,598688,57375.9,301200.0,301648.0,299520,301984,1152.7,cuLaunchKernelEx,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
648714,648714,0,3,3,822421.3,830880.0,800992,835392,18695.0,16821.3,16576.0,16096,17792,874.2,764842.7,773888.0,740768,779872,21062.9,40757.3,40416.0,39424,42432,1532.8,cuLaunchKernel,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
648714,648714,0,3,3,800800.0,836512.0,729344,836544,61882.7,15626.7,15680.0,15072,16128,530.0,755413.3,790144.0,684192,791904,61685.8,29760.0,29536.0,29472,30272,444.6,cuLaunchKernel,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc_0xeeda8c3ad0b01a41e68bda37288b89cd_com
648714,648714,0,4,4,700160.0,698576.0,696032,707456,5114.9,82912.0,82016.0,80704,86912,2737.9,597664.0,597936.0,594784,600000,2610.0,19584.0,19200.0,19136,20800,811.6,cuLaunchKernel,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
648714,648714,0,7,7,686752.0,688064.0,680576,689024,2879.1,70422.9,70048.0,69312,72160,1151.5,595908.6,596928.0,587936,599008,3656.2,20420.6,20288.0,18720,21472,934.7,cuLaunchKernel,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
648714,648714,0,3,3,681461.3,685984.0,667232,691168,12592.6,83082.7,85376.0,77888,85984,4509.0,586901.3,594560.0,569792,596352,14844.2,11477.3,11456.0,11232,11744,256.7,cuLaunchKernel,__myl_RepIotIotRepCasAddCasEqlLtOrSel_0xeed00a2999d9a920ce4be4d44852c879_com
648714,648714,0,3,3,669376.0,663168.0,655968,688992,17365.2,59680.0,49152.0,41280,88608,25359.7,593333.3,597344.0,584544,598112,7621.5,16362.7,16576.0,15840,16672,455.2,cuLaunchKernel,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f_com
648714,648714,0,3,3,617056.0,625184.0,595808,630176,18569.8,23488.0,23712.0,21856,24896,1532.3,574848.0,582720.0,552672,589152,19472.4,18720.0,18752.0,18240,19168,464.8,cuLaunchKernel,__myl_MovMulMeaAddSqrDivMulMul_0x8c7c765d132892c540be4329124deccc_com_vec
648714,648714,0,4,4,517656.0,666288.0,66336,671712,300904.7,47328.0,48528.0,40224,52032,5131.7,446840.0,593616.0,3744,596384,295408.1,23488.0,23504.0,22368,24576,904.0,cuLaunchKernel,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
