Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
myelin-exec:/v_proj_5/MatMul+/k_proj_5/MatMul+/q_proj_5/MatMul,PushPop,2112096,326528,7,301728.0,301152.0,299104,308256,3058.5,7,1.0,3.7,0.0
myelin-exec:/v_proj_15/MatMul+/k_proj_15/MatMul+/q_proj_15/MatMul,PushPop,2111808,339200,7,301686.9,301056.0,299616,307232,2527.2,7,1.0,3.7,0.0
myelin-exec:/v_proj_18/MatMul+/k_proj_18/MatMul+/q_proj_18/MatMul,PushPop,2109472,358496,7,301353.1,300576.0,299776,305472,1968.3,7,1.0,3.7,0.0
myelin-exec:/v_proj_22/MatMul+/k_proj_22/MatMul+/q_proj_22/MatMul,PushPop,2108064,341248,7,301152.0,300928.0,300672,301920,527.4,7,1.0,3.7,0.0
myelin-exec:/v_proj_4/MatMul+/k_proj_4/MatMul+/q_proj_4/MatMul,PushPop,2108064,335520,7,301152.0,300736.0,299488,304256,1583.5,7,1.0,3.7,0.0
myelin-exec:/v_proj_17/MatMul+/k_proj_17/MatMul+/q_proj_17/MatMul,PushPop,2107936,350528,7,301133.7,301280.0,298656,303136,1469.2,7,1.0,3.7,0.0
myelin-exec:/v_proj/MatMul+/k_proj/MatMul+/q_proj/MatMul,PushPop,2107424,65532576,7,301060.6,301184.0,299520,301984,878.6,7,1.0,3.7,0.0
myelin-exec:/v_proj_19/MatMul+/k_proj_19/MatMul+/q_proj_19/MatMul,PushPop,2105824,361632,7,300832.0,301056.0,298304,302784,1571.2,7,1.0,3.7,0.0
myelin-exec:/v_proj_3/MatMul+/k_proj_3/MatMul+/q_proj_3/MatMul,PushPop,2102368,308832,7,300338.3,300544.0,298112,301728,1142.2,7,1.0,3.7,0.0
myelin-exec:__myl_ResMulMea,PushPop,1941024,2734016,168,11553.7,11392.0,9920,12448,473.5,168,1.0,3.3,0.0
myelin-exec:_gemm_mha_v2,PushPop,1843488,1050880,84,21946.3,21760.0,21280,23168,500.2,84,1.0,3.3,0.0
myelin-exec:__myl_MulMaxSubExpSumDivMul,PushPop,1698912,1849152,112,15168.9,15872.0,12096,17664,1540.8,112,1.0,4.0,0.0
myelin-exec:/up_proj/MatMul,PushPop,1690720,358304,7,241531.4,241632.0,239136,244000,1663.8,7,1.0,3.7,0.0
myelin-exec:/up_proj_3/MatMul,PushPop,1688928,308448,7,241275.4,243424.0,236928,245568,4050.3,7,1.0,3.7,0.0
myelin-exec:/up_proj_2/MatMul,PushPop,1686304,275456,7,240900.6,241888.0,237088,244672,3372.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_25/MatMul,PushPop,1685536,314112,7,240790.9,240480.0,237920,243744,2628.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_11/MatMul,PushPop,1685344,307808,7,240763.4,242304.0,236128,245088,3652.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_17/MatMul,PushPop,1683776,304576,7,240539.4,241184.0,236512,244224,3341.5,7,1.0,3.7,0.0
myelin-exec:/up_proj_1/MatMul,PushPop,1682464,305728,7,240352.0,242560.0,236064,245056,3862.9,7,1.0,3.7,0.0
myelin-exec:/up_proj_6/MatMul,PushPop,1679200,309408,7,239885.7,241280.0,235488,243488,3306.7,7,1.0,3.7,0.0
myelin-exec:/up_proj_22/MatMul,PushPop,1678976,326688,7,239853.7,238688.0,235872,244832,4046.4,7,1.0,3.7,0.0
myelin-exec:/up_proj_4/MatMul,PushPop,1678816,311168,7,239830.9,239008.0,235840,244064,3299.9,7,1.0,3.7,0.0
myelin-exec:/up_proj_16/MatMul,PushPop,1677216,310400,7,239602.3,240640.0,236160,243040,2431.3,7,1.0,3.7,0.0
myelin-exec:/up_proj_9/MatMul,PushPop,1676800,312608,7,239542.9,238432.0,235936,245376,3413.5,7,1.0,3.7,0.0
myelin-exec:/up_proj_12/MatMul,PushPop,1675712,330528,7,239387.4,238112.0,236032,243648,3330.0,7,1.0,3.7,0.0
myelin-exec:/up_proj_7/MatMul,PushPop,1675008,313760,7,239286.9,236672.0,233984,245760,4504.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_21/MatMul,PushPop,1674208,314944,7,239172.6,238048.0,235520,244960,3881.7,7,1.0,3.7,0.0
myelin-exec:/up_proj_14/MatMul,PushPop,1673184,337152,7,239026.3,239136.0,236064,243904,2569.1,7,1.0,3.7,0.0
myelin-exec:/up_proj_18/MatMul,PushPop,1672192,293696,7,238884.6,237184.0,234080,244000,3975.8,7,1.0,3.7,0.0
myelin-exec:/up_proj_23/MatMul,PushPop,1671328,311744,7,238761.1,237856.0,234720,244192,3544.2,7,1.0,3.7,0.0
myelin-exec:/up_proj_8/MatMul,PushPop,1671136,285472,7,238733.7,236736.0,235680,242464,3197.7,7,1.0,3.7,0.0
myelin-exec:/up_proj_10/MatMul,PushPop,1670976,307328,7,238710.9,237376.0,236032,243200,2864.3,7,1.0,3.7,0.0
myelin-exec:/up_proj_24/MatMul,PushPop,1670048,319904,7,238578.3,238208.0,233536,242912,3099.3,7,1.0,3.7,0.0
myelin-exec:/up_proj_19/MatMul,PushPop,1669984,316480,7,238569.1,235616.0,234432,244032,4531.5,7,1.0,3.7,0.0
myelin-exec:/up_proj_26/MatMul,PushPop,1668384,400032,7,238340.6,237504.0,234272,243296,3808.7,7,1.0,3.7,0.0
myelin-exec:/up_proj_15/MatMul,PushPop,1667104,324640,7,238157.7,237440.0,233024,243168,3534.4,7,1.0,3.7,0.0
myelin-exec:/up_proj_13/MatMul,PushPop,1662720,295808,7,237531.4,236992.0,234368,242336,2654.9,7,1.0,3.7,0.0
myelin-exec:/up_proj_5/MatMul,PushPop,1661344,283552,7,237334.9,236448.0,233280,242656,3401.8,7,1.0,3.7,0.0
myelin-exec:/up_proj_20/MatMul,PushPop,1656096,318016,7,236585.1,236544.0,231424,242432,3471.5,7,1.0,3.7,0.0
myelin-exec:/up_proj_27/MatMul,PushPop,1578880,349856,7,225554.3,236320.0,158592,238752,29566.8,7,1.0,3.7,0.0
myelin-exec:__myl_AddMulMeaAddSqrDivMulMul,PushPop,1490720,1993248,108,13803.0,13728.0,10912,14944,423.4,108,1.0,4.0,0.0
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddResSliRepResTraRes,PushPop,1479936,1472704,81,18270.8,18528.0,17376,19104,492.7,81,1.0,3.3,0.0
myelin-exec:__myl_NegExpAddDivMulMul,PushPop,1287552,1462080,84,15328.0,15184.0,14816,16544,410.0,84,1.0,3.3,0.0
myelin-exec:__myl_ResTraResSliRepRes,PushPop,1264512,1449472,84,15053.7,15008.0,14688,16032,256.9,84,1.0,3.3,0.0
myelin-exec:__myl_AddSqrDivMulMulTraSliSliNegConMulMulAddRes,PushPop,1164608,1017152,81,14377.9,14240.0,13760,15296,428.5,81,1.0,3.3,0.0
myelin-exec:__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd,PushPop,1007168,1231104,108,9325.6,9312.0,7392,9792,211.5,108,1.0,4.0,0.0
myelin-exec:/gate_proj_22/MatMul,PushPop,712800,152992,3,237600.0,237504.0,236896,238400,756.6,3,1.0,3.3,0.0
myelin-exec:/gate_proj_4/MatMul,PushPop,711520,133920,3,237173.3,236864.0,235648,239008,1701.2,3,1.0,3.3,0.0
myelin-exec:/gate_proj_8/MatMul,PushPop,711424,132384,3,237141.3,237696.0,235840,237888,1131.1,3,1.0,3.3,0.0
myelin-exec:/gate_proj_9/MatMul,PushPop,711328,128800,3,237109.3,237088.0,236608,237632,512.3,3,1.0,3.3,0.0
myelin-exec:/gate_proj_6/MatMul,PushPop,710848,125472,3,236949.3,236736.0,235904,238208,1166.7,3,1.0,3.3,0.0
myelin-exec:/gate_proj_3/MatMul,PushPop,710528,125632,3,236842.7,237024.0,235808,237696,957.0,3,1.0,3.3,0.0
myelin-exec:/gate_proj_14/MatMul,PushPop,710400,141280,3,236800.0,236544.0,236480,237376,499.9,3,1.0,3.3,0.0
myelin-exec:/gate_proj_16/MatMul,PushPop,709920,140992,3,236640.0,236544.0,236384,236992,315.2,3,1.0,3.3,0.0
myelin-exec:/gate_proj_7/MatMul,PushPop,709696,133728,3,236565.3,236192.0,235776,237728,1028.2,3,1.0,3.3,0.0
myelin-exec:/gate_proj_25/MatMul,PushPop,709376,140832,3,236458.7,236480.0,236096,236800,352.5,3,1.0,3.3,0.0
myelin-exec:/gate_proj_5/MatMul,PushPop,709344,125760,3,236448.0,236480.0,236032,236832,401.0,3,1.0,3.3,0.0
myelin-exec:/gate_proj_21/MatMul,PushPop,709248,137280,3,236416.0,236544.0,235808,236896,555.2,3,1.0,3.3,0.0
myelin-exec:/gate_proj_11/MatMul,PushPop,708896,132512,3,236298.7,236160.0,236160,236576,240.2,3,1.0,3.3,0.0
myelin-exec:/gate_proj_15/MatMul,PushPop,708640,134912,3,236213.3,236064.0,235936,236640,375.0,3,1.0,3.3,0.0
myelin-exec:/gate_proj_10/MatMul,PushPop,708352,150240,3,236117.3,236128.0,234848,237376,1264.0,3,1.0,3.3,0.0
myelin-exec:/gate_proj_23/MatMul,PushPop,708256,139264,3,236085.3,236640.0,234656,236960,1248.1,3,1.0,3.3,0.0
myelin-exec:/gate_proj_2/MatMul,PushPop,708192,134752,3,236064.0,236064.0,235648,236480,416.0,3,1.0,3.3,0.0
myelin-exec:/gate_proj_19/MatMul,PushPop,708064,140032,3,236021.3,235776.0,235424,236864,750.7,3,1.0,3.3,0.0
myelin-exec:/gate_proj_26/MatMul,PushPop,708064,136960,3,236021.3,235520.0,235424,237120,952.7,3,1.0,3.3,0.0
myelin-exec:/gate_proj_18/MatMul,PushPop,708000,137344,3,236000.0,235680.0,235680,236640,554.3,3,1.0,3.3,0.0
myelin-exec:/gate_proj_12/MatMul,PushPop,707808,132352,3,235936.0,236032.0,235712,236064,194.6,3,1.0,3.3,0.0
myelin-exec:/gate_proj_20/MatMul,PushPop,707488,141536,3,235829.3,235520.0,235488,236480,563.7,3,1.0,3.3,0.0
myelin-exec:/gate_proj_1/MatMul,PushPop,707296,134816,3,235765.3,235360.0,235232,236704,815.4,3,1.0,3.3,0.0
myelin-exec:/gate_proj_17/MatMul,PushPop,707264,133760,3,235754.7,235232.0,235168,236864,961.2,3,1.0,3.3,0.0
myelin-exec:/gate_proj/MatMul,PushPop,706944,181696,3,235648.0,235360.0,234688,236896,1131.8,3,1.0,3.3,0.0
myelin-exec:/gate_proj_24/MatMul,PushPop,706368,146784,3,235456.0,235456.0,235040,235872,416.0,3,1.0,3.3,0.0
myelin-exec:/gate_proj_27/MatMul,PushPop,706112,136544,3,235370.7,235136.0,235104,235872,434.5,3,1.0,3.3,0.0
myelin-exec:/gate_proj_13/MatMul,PushPop,705056,128416,3,235018.7,235008.0,234848,235200,176.2,3,1.0,3.3,0.0
myelin-exec:/o_proj_16/MatMul,PushPop,665728,184768,4,166432.0,166544.0,165728,166912,514.0,4,1.0,4.0,0.0
myelin-exec:/o_proj_6/MatMul,PushPop,664640,197280,4,166160.0,166144.0,165696,166656,406.0,4,1.0,4.0,0.0
myelin-exec:/o_proj_11/MatMul,PushPop,663936,185312,4,165984.0,166128.0,164992,166688,717.9,4,1.0,4.0,0.0
myelin-exec:/o_proj_10/MatMul,PushPop,663328,176960,4,165832.0,165616.0,165280,166816,710.5,4,1.0,4.0,0.0
myelin-exec:/o_proj_23/MatMul,PushPop,662464,188160,4,165616.0,165664.0,165056,166080,428.9,4,1.0,4.0,0.0
myelin-exec:/o_proj_19/MatMul,PushPop,660768,199744,4,165192.0,165056.0,164736,165920,514.2,4,1.0,4.0,0.0
myelin-exec:/o_proj_7/MatMul,PushPop,660608,182240,4,165152.0,165328.0,163968,165984,876.4,4,1.0,4.0,0.0
myelin-exec:/o_proj_13/MatMul,PushPop,660544,182240,4,165136.0,165152.0,163520,166720,1472.6,4,1.0,4.0,0.0
myelin-exec:/o_proj_2/MatMul,PushPop,660448,181120,4,165112.0,165088.0,164512,165760,585.6,4,1.0,4.0,0.0
myelin-exec:/o_proj_15/MatMul,PushPop,660384,169248,4,165096.0,165120.0,164320,165824,729.0,4,1.0,4.0,0.0
myelin-exec:/o_proj_3/MatMul,PushPop,660224,161952,4,165056.0,165072.0,164576,165504,379.5,4,1.0,4.0,0.0
myelin-exec:/o_proj_1/MatMul,PushPop,659808,179840,4,164952.0,164608.0,164032,166560,1107.1,4,1.0,4.0,0.0
myelin-exec:/o_proj_22/MatMul,PushPop,659616,184864,4,164904.0,164800.0,164416,165600,500.8,4,1.0,4.0,0.0
myelin-exec:/o_proj_17/MatMul,PushPop,659520,190528,4,164880.0,164992.0,163712,165824,881.6,4,1.0,4.0,0.0
myelin-exec:/o_proj_20/MatMul,PushPop,659264,176672,4,164816.0,164192.0,163584,167296,1749.9,4,1.0,4.0,0.0
myelin-exec:/o_proj_25/MatMul,PushPop,659200,193632,4,164800.0,164464.0,163680,166592,1299.3,4,1.0,4.0,0.0
myelin-exec:/o_proj_5/MatMul,PushPop,659040,171840,4,164760.0,164320.0,164064,166336,1065.6,4,1.0,4.0,0.0
myelin-exec:/o_proj_12/MatMul,PushPop,659008,198272,4,164752.0,165264.0,162688,165792,1415.9,4,1.0,4.0,0.0
myelin-exec:/o_proj_24/MatMul,PushPop,658688,201696,4,164672.0,164624.0,163424,166016,1125.3,4,1.0,4.0,0.0
myelin-exec:/o_proj_18/MatMul,PushPop,658656,172704,4,164664.0,164768.0,163616,165504,781.8,4,1.0,4.0,0.0
myelin-exec:/o_proj_21/MatMul,PushPop,658176,177344,4,164544.0,164368.0,163648,165792,903.2,4,1.0,4.0,0.0
myelin-exec:/o_proj_8/MatMul,PushPop,657888,181888,4,164472.0,164448.0,163168,165824,1115.7,4,1.0,4.0,0.0
myelin-exec:/o_proj_14/MatMul,PushPop,657536,191616,4,164384.0,164016.0,163360,166144,1215.2,4,1.0,4.0,0.0
myelin-exec:/o_proj_9/MatMul,PushPop,657536,179360,4,164384.0,164592.0,163200,165152,876.4,4,1.0,4.0,0.0
myelin-exec:/o_proj_4/MatMul,PushPop,657056,190816,4,164264.0,164096.0,163040,165824,1276.9,4,1.0,4.0,0.0
myelin-exec:/o_proj_26/MatMul,PushPop,654976,200704,4,163744.0,163488.0,163360,164640,605.5,4,1.0,4.0,0.0
myelin-exec:/o_proj/MatMul,PushPop,635456,403328,4,158864.0,158704.0,158144,159904,744.8,4,1.0,4.0,0.0
myelin-exec:/o_proj_27/MatMul,PushPop,594208,178912,4,148552.0,163632.0,101856,165088,31138.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_41,PushPop,203392,178720,4,50848.0,51088.0,49952,51264,610.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_45,PushPop,203200,186400,4,50800.0,50944.0,50176,51136,426.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_43,PushPop,202368,184288,4,50592.0,50608.0,49952,51200,529.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_39,PushPop,201696,190752,4,50424.0,50304.0,49952,51136,503.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_33,PushPop,201664,182752,4,50416.0,50272.0,49984,51136,499.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_37,PushPop,201568,183008,4,50392.0,50144.0,50112,51168,518.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_29,PushPop,201312,177120,4,50328.0,50144.0,49952,51072,504.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_51,PushPop,200768,185216,4,50192.0,50128.0,50080,50432,162.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_3,PushPop,200576,173920,4,50144.0,50176.0,49952,50272,138.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_49,PushPop,200480,194112,4,50120.0,50128.0,49120,51104,827.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_21,PushPop,200448,175776,4,50112.0,50144.0,49536,50624,445.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_27,PushPop,200448,180544,4,50112.0,50608.0,48032,51200,1440.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_35,PushPop,200384,186560,4,50096.0,50080.0,49184,51040,765.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_47,PushPop,200288,175936,4,50072.0,50112.0,49824,50240,192.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_25,PushPop,200032,191840,4,50008.0,50048.0,49472,50464,410.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_1,PushPop,199936,202560,4,49984.0,50000.0,49888,50048,78.4,4,1.0,4.0,0.0
myelin-exec:/MatMul_15,PushPop,199200,168864,4,49800.0,49984.0,49184,50048,412.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_23,PushPop,199136,180896,4,49784.0,49824.0,49344,50144,329.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_17,PushPop,198976,189088,4,49744.0,49920.0,49024,50112,499.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_11,PushPop,198912,171424,4,49728.0,49664.0,49440,50144,296.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_13,PushPop,198912,185408,4,49728.0,50096.0,48576,50144,768.4,4,1.0,4.0,0.0
myelin-exec:/MatMul_19,PushPop,198752,166304,4,49688.0,49808.0,49088,50048,439.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_7,PushPop,198688,161088,4,49672.0,49792.0,49024,50080,459.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_31,PushPop,197888,170112,4,49472.0,49520.0,48928,49920,507.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_53,PushPop,196768,198752,4,49192.0,49104.0,48640,49920,545.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_5,PushPop,196672,190560,4,49168.0,49488.0,48096,49600,716.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_55,PushPop,196320,188288,4,49080.0,50192.0,44800,51136,2888.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_9,PushPop,195872,175776,4,48968.0,49120.0,48416,49216,379.0,4,1.0,4.0,0.0
myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc,PushPop,150368,82560,4,37592.0,39920.0,28096,42432,6453.2,4,1.0,4.0,0.0
TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]},PushPop,143040,1618880,7,20434.3,22368.0,15840,24576,3870.8,7,1.0,1.7,1.0
myelin-exec:__myl_CasGat,PushPop,143040,408896,7,20434.3,22368.0,15840,24576,3870.8,7,1.0,3.7,0.0
TensorRT:{ForeignNode[/Cast.../Cast_1]},PushPop,142944,971392,7,20420.6,20288.0,18720,21472,934.7,7,1.0,1.7,1.0
myelin-exec:__myl_MovMulMeaAddSqrDivMulMulCas,PushPop,142944,534080,7,20420.6,20288.0,18720,21472,934.7,7,1.0,3.7,0.0
myelin-exec:__myl_MovMulMeaAddSqrDivMulMul,PushPop,134496,443136,7,19213.7,19168.0,18240,20800,784.0,7,1.0,3.7,0.0
myelin-exec:/MatMul_46,PushPop,126304,172704,4,31576.0,31760.0,30912,31872,446.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_18,PushPop,125440,162048,4,31360.0,31408.0,31040,31584,238.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_20,PushPop,125440,178176,4,31360.0,31360.0,31008,31712,371.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_28,PushPop,125440,175776,4,31360.0,31376.0,30816,31872,525.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_4,PushPop,125280,179648,4,31320.0,31328.0,30816,31808,545.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_10,PushPop,124960,171616,4,31240.0,31120.0,30944,31776,385.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_2,PushPop,124288,172672,4,31072.0,31056.0,30624,31552,390.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_24,PushPop,124256,180992,4,31064.0,31024.0,30784,31424,315.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_44,PushPop,124160,175072,4,31040.0,30784.0,30752,31840,534.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_52,PushPop,124128,181216,4,31032.0,30896.0,30688,31648,422.4,4,1.0,4.0,0.0
myelin-exec:/MatMul_40,PushPop,124096,163968,4,31024.0,30848.0,30688,31712,482.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_26,PushPop,123840,172064,4,30960.0,30704.0,30656,31776,544.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_12,PushPop,123648,186560,4,30912.0,30960.0,30720,31008,130.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_16,PushPop,123648,172864,4,30912.0,30848.0,30752,31200,212.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_48,PushPop,123616,184160,4,30904.0,30704.0,30624,31584,455.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_6,PushPop,123488,158080,4,30872.0,30768.0,30560,31392,360.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_8,PushPop,123424,154336,4,30856.0,30880.0,30688,30976,123.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_38,PushPop,123392,180704,4,30848.0,30800.0,30752,31040,130.6,4,1.0,4.0,0.0
