Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
myelin-exec:/MatMul_3,PushPop,202912,152864,4,50728.0,50672.0,50528,51040,222.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_7,PushPop,202848,147264,4,50712.0,50528.0,50400,51392,460.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_37,PushPop,202752,196896,4,50688.0,50704.0,50464,50880,207.4,4,1.0,4.0,0.0
myelin-exec:/MatMul_47,PushPop,202720,171264,4,50680.0,50320.0,50208,51872,799.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_51,PushPop,202720,232640,4,50680.0,50752.0,50240,50976,328.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_33,PushPop,202496,153248,4,50624.0,50432.0,50272,51360,507.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_39,PushPop,202368,173728,4,50592.0,50512.0,50112,51232,488.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_55,PushPop,202304,171968,4,50576.0,50704.0,50048,50848,358.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_19,PushPop,202272,149952,4,50568.0,50448.0,50208,51168,420.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_41,PushPop,202272,172512,4,50568.0,50544.0,50304,50880,253.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_21,PushPop,202240,148288,4,50560.0,50624.0,49856,51136,538.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_23,PushPop,202080,148864,4,50520.0,50496.0,50304,50784,199.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_27,PushPop,201984,147392,4,50496.0,50512.0,50176,50784,265.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_25,PushPop,201952,147072,4,50488.0,50432.0,50272,50816,244.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_53,PushPop,201664,174880,4,50416.0,50432.0,50304,50496,84.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_13,PushPop,201600,147744,4,50400.0,50448.0,50240,50464,107.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_5,PushPop,201472,150368,4,50368.0,50368.0,50080,50656,247.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_31,PushPop,201344,151008,4,50336.0,50336.0,49984,50688,292.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_9,PushPop,201184,154432,4,50296.0,50304.0,50208,50368,71.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_49,PushPop,200864,163680,4,50216.0,50128.0,49952,50656,337.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_45,PushPop,200800,185536,4,50200.0,50240.0,50048,50272,105.7,4,1.0,4.0,0.0
myelin-exec:__myl_MulMeaAddSqrDivMulMul,PushPop,186528,285824,14,13323.4,12528.0,12416,14912,1060.8,14,1.0,3.7,0.0
myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc,PushPop,153792,101152,4,38448.0,40336.0,28640,44480,6854.2,4,1.0,4.0,0.0
TensorRT:{ForeignNode[ONNXTRT_castHelper.../Gather]},PushPop,142304,926016,7,20329.1,22176.0,15840,24256,3664.8,7,1.0,1.7,1.0
myelin-exec:__myl_CasGat,PushPop,142304,362336,7,20329.1,22176.0,15840,24256,3664.8,7,1.0,3.7,0.0
myelin-exec:/MatMul_46,PushPop,133920,201120,4,33480.0,33664.0,32832,33760,437.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_40,PushPop,133696,189376,4,33424.0,33520.0,32992,33664,318.4,4,1.0,4.0,0.0
myelin-exec:/MatMul_28,PushPop,133632,216768,4,33408.0,33568.0,32704,33792,483.9,4,1.0,4.0,0.0
TensorRT:{ForeignNode[/Cast.../Cast_1]},PushPop,133568,955584,7,19081.1,19104.0,17984,20160,630.0,7,1.0,1.7,1.0
myelin-exec:__myl_MovMulMeaAddSqrDivMulMulCas,PushPop,133568,538880,7,19081.1,19104.0,17984,20160,630.0,7,1.0,3.7,0.0
myelin-exec:/MatMul_14,PushPop,133408,192320,4,33352.0,33440.0,33024,33504,222.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_24,PushPop,133216,186016,4,33304.0,33440.0,32640,33696,470.6,4,1.0,4.0,0.0
myelin-exec:/MatMul_20,PushPop,133056,172640,4,33264.0,33424.0,32704,33504,375.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_10,PushPop,133024,175872,4,33256.0,33312.0,32800,33600,393.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_12,PushPop,132960,185728,4,33240.0,33376.0,32448,33760,573.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_30,PushPop,132960,188512,4,33240.0,33216.0,32768,33760,546.4,4,1.0,4.0,0.0
myelin-exec:/MatMul_50,PushPop,132960,204576,4,33240.0,33328.0,32608,33696,464.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_18,PushPop,132864,174336,4,33216.0,33200.0,32672,33792,611.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_42,PushPop,132800,207840,4,33200.0,33200.0,32736,33664,396.7,4,1.0,4.0,0.0
myelin-exec:/MatMul_32,PushPop,132704,177312,4,33176.0,33200.0,32768,33536,346.0,4,1.0,4.0,0.0
myelin-exec:/MatMul_52,PushPop,132672,214624,4,33168.0,33152.0,32736,33632,449.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_8,PushPop,132608,189664,4,33152.0,33056.0,33024,33472,215.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_6,PushPop,132544,182656,4,33136.0,33072.0,32800,33600,335.1,4,1.0,4.0,0.0
myelin-exec:/MatMul_38,PushPop,132288,205792,4,33072.0,33120.0,32480,33568,531.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_16,PushPop,132256,171040,4,33064.0,32912.0,32672,33760,506.9,4,1.0,4.0,0.0
myelin-exec:/MatMul_26,PushPop,132192,180704,4,33048.0,33152.0,32288,33600,632.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_36,PushPop,132000,211392,4,33000.0,33120.0,32480,33280,363.3,4,1.0,4.0,0.0
myelin-exec:/MatMul_48,PushPop,131968,198368,4,32992.0,33072.0,32416,33408,497.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_22,PushPop,131392,172960,4,32848.0,32752.0,32544,33344,356.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_54,PushPop,131392,184224,4,32848.0,32800.0,32640,33152,216.2,4,1.0,4.0,0.0
myelin-exec:/MatMul_34,PushPop,127008,208480,4,31752.0,31936.0,31040,32096,483.5,4,1.0,4.0,0.0
myelin-exec:/MatMul_2,PushPop,126880,185824,4,31720.0,31760.0,31424,31936,257.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_44,PushPop,124960,214528,4,31240.0,31040.0,30912,31968,489.8,4,1.0,4.0,0.0
myelin-exec:/MatMul_4,PushPop,123328,169920,4,30832.0,30816.0,30752,30944,84.7,4,1.0,4.0,0.0
myelin-exec:__myl_MovResMulMea,PushPop,104992,152864,8,13124.0,12976.0,12448,14176,670.2,8,1.0,4.0,0.0
myelin-exec:__myl_MovResConResRep,PushPop,102528,105696,4,25632.0,27888.0,16800,29952,6010.9,4,1.0,4.0,0.0
myelin-exec:__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas,PushPop,96992,344896,4,24248.0,24128.0,23936,24800,400.9,4,1.0,4.0,0.0
myelin-exec:__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulTraSliSliNegConMulMulAddResSliRepResTraEtc,PushPop,90528,73120,3,30176.0,29856.0,29824,30848,582.2,3,1.0,3.3,0.0
myelin-exec:__myl_MovMulMeaAddSqrDivMulMulMinMaxRouCasMulMinMaxRouCasMulMinMaxRouCas,PushPop,66304,86720,3,22101.3,22112.0,22016,22176,80.5,3,1.0,3.3,0.0
myelin-exec:__myl_NegExpAddDivMulMul,PushPop,45728,65408,3,15242.7,15264.0,15136,15328,97.8,3,1.0,3.3,0.0
myelin-exec:__myl_RepIotIotRepCasAddCasEqlLtOrSel,PushPop,29152,262272,3,9717.3,9856.0,9376,9920,297.3,3,1.0,3.3,0.0
