case,dtype,trial,mean_ms,median_ms,min_ms,max_ms,stddev_ms,cv
prefill_s8,bfloat16,0,0.288946721,0.285920009,0.089887999,0.360448003,0.021958267,0.075994174
prefill_s8,bfloat16,1,0.275470239,0.274095997,0.103263997,0.339583993,0.018589168,0.067481585
prefill_s8,bfloat16,2,0.272145440,0.272783995,0.098176003,0.325664014,0.025460294,0.093553999
prefill_s8,bfloat16,3,0.275025600,0.274112001,0.098527998,0.319775999,0.017817740,0.064785750
prefill_s8,bfloat16,4,0.250801600,0.272560000,0.098016001,0.347840011,0.062049286,0.247403868
prefill_s8,float16,0,0.283135040,0.281504005,0.102176003,0.351999998,0.020842948,0.073614865
prefill_s8,float16,1,0.275712162,0.275664002,0.104479998,0.326815993,0.017851838,0.064748098
prefill_s8,float16,2,0.273014720,0.273184001,0.099615999,0.332576007,0.022030558,0.080693663
prefill_s8,float16,3,0.271271679,0.274608001,0.098208003,0.342752010,0.032596254,0.120160920
prefill_s8,float16,4,0.274663521,0.275312006,0.097888000,0.331232011,0.018479052,0.067278874
decode_s1,bfloat16,0,0.276294400,0.274847999,0.244128004,0.331039995,0.014118952,0.051101116
decode_s1,bfloat16,1,0.272314080,0.270848006,0.244128004,0.326335996,0.013295062,0.048822527
decode_s1,bfloat16,2,0.273389761,0.272704005,0.244223997,0.310207993,0.012869140,0.047072501
decode_s1,bfloat16,3,0.271241919,0.271792009,0.095392004,0.324735999,0.018216823,0.067160794
decode_s1,bfloat16,4,0.271579041,0.270991996,0.237087995,0.319615990,0.013558131,0.049923334
decode_s1,float16,0,0.276940641,0.275392011,0.248160005,0.320320010,0.012244206,0.044212383
decode_s1,float16,1,0.275256799,0.274304003,0.246240005,0.323392004,0.012544148,0.045572526
decode_s1,float16,2,0.273302721,0.273359999,0.095328003,0.321920007,0.017629207,0.064504323
decode_s1,float16,3,0.274346240,0.274095997,0.239424005,0.317535996,0.013183728,0.048055070
decode_s1,float16,4,0.275204159,0.274320006,0.243136004,0.334176004,0.014400976,0.052328336
