version,kernel,block_size,grid_size,profile_sm_frequency_mhz,profile_duration_ms,sm_throughput_pct,memory_throughput_pct,l1tex_throughput_pct,l2_throughput_pct,achieved_occupancy_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issue_active_pct,long_scoreboard_cycles_per_issue,barrier_cycles_per_issue,not_selected_cycles_per_issue,global_load_requests,global_load_sectors,load_sectors_per_request,global_store_requests,global_store_sectors,store_sectors_per_request,global_store_excessive_sectors,shared_load_bank_conflicts,shared_store_bank_conflicts,shared_total_bank_conflicts,shared_excessive_wavefronts,shared_load_instructions,shared_store_instructions,registers_per_thread,static_shared_memory_kb
V1,"copyKernel(const float *, float *, unsigned long, unsigned long)","(32, 8, 1)","(128, 512, 1)",407.984155,4.28912,29.70467,67.285386,21.999054,67.285386,79.199239,9.290424,0.408236,29.733785,23.768058,0.0,0.372683,524288.0,2097152.0,4.0,524288.0,2097152.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
V2,"naiveKernel(const float *, float *, unsigned long, unsigned long)","(32, 8, 1)","(128, 512, 1)",509.997253,17.723968,5.841268,99.630683,47.211502,99.630683,79.264333,9.476288,0.06498,5.066948,62.115803,0.0,0.282166,524288.0,2097152.0,4.0,524288.0,16832524.0,32.105491638183594,14735372.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
V3,"void tiledKernel<0>(const float *, float *, unsigned long, unsigned long)","(32, 8, 1)","(128, 128, 1)",509.987021,4.786112,21.457061,98.371546,98.371546,48.252869,94.278315,11.292842,0.45249,21.497713,9.224183,6.424498,1.10305,524288.0,2097152.0,4.0,524288.0,2097152.0,4.0,0.0,16335476.0,14319.0,16349795.0,16252928.0,524288.0,524288.0,24.0,4.096
V4,"void tiledKernel<1>(const float *, float *, unsigned long, unsigned long)","(32, 8, 1)","(128, 128, 1)",407.980031,3.097632,41.92198,90.181277,26.65679,90.181277,94.466082,11.255044,0.838699,41.978768,15.881481,1.984552,1.008273,524288.0,2097152.0,4.0,524288.0,2097152.0,4.0,0.0,25841.0,28112.0,53953.0,0.0,524288.0,524288.0,24.0,4.224
