Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.5,7917760,6,1319626.7,10896.0,7200,4684800,2083989.5,cudaStreamSynchronize
26.7,4354144,250,17416.6,16384.0,12224,73600,5776.8,cuLaunchKernelEx
21.1,3446496,250,13786.0,11840.0,9632,49824,4652.1,cuLaunchKernel
1.5,246464,114,2162.0,1888.0,1216,30560,2727.2,cuStreamWaitEvent
1.3,210208,86,2444.3,2224.0,1696,7008,751.2,cuEventRecord
0.6,93248,2,46624.0,46624.0,34368,58880,17332.6,cudaMemcpyAsync
0.2,36608,1,36608.0,36608.0,36608,36608,0.0,cudaLaunchKernel
0.1,21760,4,5440.0,5440.0,4448,6432,1091.4,cudaStreamIsCapturing_v10000
