Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.4,19959072,6,3326512.0,14640.0,11616,10105472,5133901.9,cudaStreamSynchronize
19.3,6156736,195,31573.0,31680.0,18656,49696,4332.7,cuLaunchKernelEx
13.8,4424544,225,19664.6,19136.0,11072,81856,7328.5,cuLaunchKernel
3.8,1215072,1,1215072.0,1215072.0,1215072,1215072,0.0,cudaMalloc
0.3,104672,2,52336.0,52336.0,41280,63392,15635.5,cudaMemcpyAsync
0.3,87232,2,43616.0,43616.0,32768,54464,15341.4,cudaLaunchKernel
0.1,35456,5,7091.2,6560.0,6432,8704,975.8,cudaStreamIsCapturing_v10000
