Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.2,10176096,6,1696016.0,11568.0,8864,10112768,4123352.2,cudaStreamSynchronize
27.7,6368096,250,25472.4,24912.0,16512,49184,4407.8,cuLaunchKernelEx
20.2,4660992,250,18644.0,17984.0,10752,82944,6689.7,cuLaunchKernel
4.7,1076576,1,1076576.0,1076576.0,1076576,1076576,0.0,cudaMalloc
1.3,289824,114,2542.3,2480.0,1472,6976,620.2,cuStreamWaitEvent
1.2,280704,86,3264.0,3040.0,1824,9728,1029.6,cuEventRecord
0.5,108768,2,54384.0,54384.0,37440,71328,23962.4,cudaMemcpyAsync
0.2,36128,1,36128.0,36128.0,36128,36128,0.0,cudaLaunchKernel
0.1,32128,5,6425.6,6016.0,4640,9088,1689.3,cudaStreamIsCapturing_v10000
