layer_id,decoder_layer,layer_name,operator,tactic,precision,shape,confidence,latency_us,mean_us,std_us,cv,min_us,max_us,p95_us,samples,measurement_context
397,15,/up_proj_15/MatMul_myl0_397,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,157.328002,168.435200,34.716729,0.206113,116.480000,253.280014,252.447993,30,SYNTHETIC_DECODE_IPROFILER
422,16,/up_proj_16/MatMul_myl0_422,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,155.759998,169.143468,34.495560,0.203943,118.271999,253.024012,251.616001,30,SYNTHETIC_DECODE_IPROFILER
447,17,/up_proj_17/MatMul_myl0_447,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,154.368006,166.904533,34.230237,0.205089,114.496000,252.160013,245.631993,30,SYNTHETIC_DECODE_IPROFILER
472,18,/up_proj_18/MatMul_myl0_472,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,155.504003,168.416000,34.394280,0.204222,116.255999,252.608001,251.424015,30,SYNTHETIC_DECODE_IPROFILER
497,19,/up_proj_19/MatMul_myl0_497,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,155.072004,167.518934,34.295173,0.204724,118.175998,252.640009,251.872003,30,SYNTHETIC_DECODE_IPROFILER
522,20,/up_proj_20/MatMul_myl0_522,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,154.815994,167.251200,34.288389,0.205011,117.504001,252.000004,251.327991,30,SYNTHETIC_DECODE_IPROFILER
547,21,/up_proj_21/MatMul_myl0_547,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,155.103996,168.230399,33.632950,0.199922,118.015997,246.432006,243.711993,30,SYNTHETIC_DECODE_IPROFILER
572,22,/up_proj_22/MatMul_myl0_572,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,154.464006,166.257067,33.853467,0.203621,117.215998,251.967996,244.287997,30,SYNTHETIC_DECODE_IPROFILER
597,23,/up_proj_23/MatMul_myl0_597,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,154.463999,166.802133,33.360944,0.200003,117.472000,249.088004,246.015996,30,SYNTHETIC_DECODE_IPROFILER
622,24,/up_proj_24/MatMul_myl0_622,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,155.648001,166.553601,33.186833,0.199256,117.728002,251.136005,244.767994,30,SYNTHETIC_DECODE_IPROFILER
647,25,/up_proj_25/MatMul_myl0_647,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,159.504004,169.507200,35.051542,0.206785,117.440000,251.904011,251.807988,30,SYNTHETIC_DECODE_IPROFILER
672,26,/up_proj_26/MatMul_myl0_672,up_proj,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,155.423999,169.997867,33.134470,0.194911,117.824003,252.319992,251.839995,30,SYNTHETIC_DECODE_IPROFILER
696,27,/up_proj_27/MatMul_myl0_696,up_proj,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16,FP16,M=1,K=1024,N=3072,HIGH,153.280005,167.678934,33.514398,0.199872,114.912003,251.040012,249.439999,30,SYNTHETIC_DECODE_IPROFILER
