NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:A1_decode_step_0,PushPop,649196,649196,1,1,14688,14688.0,14688.0,14688,14688,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
:A1_decode_step_0,PushPop,649196,649196,1,1,13920,13920.0,13920.0,13920,13920,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
:A1_decode_step_0,PushPop,649196,649196,1,1,13760,13760.0,13760.0,13760,13760,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
:A1_decode_step_0,PushPop,649196,649196,1,1,13760,13760.0,13760.0,13760,13760,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
:A1_decode_step_0,PushPop,649196,649196,1,1,13600,13600.0,13600.0,13600,13600,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
:A1_decode_step_0,PushPop,649196,649196,1,1,13568,13568.0,13568.0,13568,13568,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
:A1_decode_step_0,PushPop,649196,649196,1,1,13408,13408.0,13408.0,13408,13408,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
:A1_decode_step_0,PushPop,649196,649196,1,1,13280,13280.0,13280.0,13280,13280,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
:A1_decode_step_0,PushPop,649196,649196,1,1,13216,13216.0,13216.0,13216,13216,0.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:A1_decode_step_0,PushPop,649196,649196,1,1,13120,13120.0,13120.0,13120,13120,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xbc9bffbf2b5683589f7ee804485f8f6c
:A1_decode_step_0,PushPop,649196,649196,1,1,12448,12448.0,12448.0,12448,12448,0.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:A1_decode_step_0,PushPop,649196,649196,1,1,12416,12416.0,12416.0,12416,12416,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
:A1_decode_step_0,PushPop,649196,649196,1,1,12416,12416.0,12416.0,12416,12416,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
:A1_decode_step_0,PushPop,649196,649196,1,1,11264,11264.0,11264.0,11264,11264,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
:A1_decode_step_0,PushPop,649196,649196,1,1,11200,11200.0,11200.0,11200,11200,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x77624facc1459ff2bf110c24ed8021c9
:A1_decode_step_0,PushPop,649196,649196,1,1,10432,10432.0,10432.0,10432,10432,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x028e232ad04f9dc415033ab5492ba131
:A1_decode_step_0,PushPop,649196,649196,1,1,10400,10400.0,10400.0,10400,10400,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2d193f06c4770a0b130c316a9152d3bb
:A1_decode_step_0,PushPop,649196,649196,1,1,10368,10368.0,10368.0,10368,10368,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x5bd2afd5a5411fb85888be6c8200be17
:A1_decode_step_0,PushPop,649196,649196,1,1,10336,10336.0,10336.0,10336,10336,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
:A1_decode_step_0,PushPop,649196,649196,1,1,10336,10336.0,10336.0,10336,10336,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
:A1_decode_step_0,PushPop,649196,649196,1,1,10304,10304.0,10304.0,10304,10304,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
:A1_decode_step_0,PushPop,649196,649196,1,1,9504,9504.0,9504.0,9504,9504,0.0,__myl_MulMinMaxRouCas_0x7c03f425cd0cc19febc97cb69c1f2cdb
:A1_decode_step_0,PushPop,649196,649196,1,1,9440,9440.0,9440.0,9440,9440,0.0,__myl_MulMinMaxRouCas_0x5d22e06f0128b92bf02f50e9b05f0125
:A1_decode_step_0,PushPop,649196,649196,1,1,9376,9376.0,9376.0,9376,9376,0.0,__myl_MulMinMaxRouCas_0xa01c797cf706031bf4679ec54cf7b88d
:A1_decode_step_0,PushPop,649196,649196,1,1,9344,9344.0,9344.0,9344,9344,0.0,__myl_MulMinMaxRouCas_0x472744a06bd7fd057961674c77025970
