NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:A1_decode_step_1,PushPop,648714,648714,1,28,790752,28241.1,28320.0,26080,29888,707.8,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
:A1_decode_step_1,PushPop,648714,648714,1,28,446464,15945.1,15888.0,14848,17664,469.0,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:A1_decode_step_1,PushPop,648714,648714,1,27,370080,13706.7,13728.0,10912,14944,643.6,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:A1_decode_step_1,PushPop,648714,648714,1,28,351072,12538.3,12544.0,12416,12896,116.5,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:A1_decode_step_1,PushPop,648714,648714,1,28,333952,11926.9,11936.0,9216,12672,579.4,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:A1_decode_step_1,PushPop,648714,648714,1,1,301920,301920.0,301920.0,301920,301920,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_1,PushPop,648714,648714,1,28,282304,10082.3,9920.0,8384,10752,486.2,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:A1_decode_step_1,PushPop,648714,648714,1,27,250528,9278.8,9312.0,7392,9696,397.6,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:A1_decode_step_1,PushPop,648714,648714,1,1,158784,158784.0,158784.0,158784,158784,0.0,trt_ampere_h16816gemm_64x64_ldg8_relu_stages_64x5_nn_v1
:A1_decode_step_1,PushPop,648714,648714,1,1,39424,39424.0,39424.0,39424,39424,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
:A1_decode_step_1,PushPop,648714,648714,1,1,23584,23584.0,23584.0,23584,23584,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:A1_decode_step_1,PushPop,648714,648714,1,1,20288,20288.0,20288.0,20288,20288,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:A1_decode_step_1,PushPop,648714,648714,1,1,19232,19232.0,19232.0,19232,19232,0.0,__myl_MovMulMeaAddSqrDivMulMul_0x2a5532526e8c57d9427ed6b89bda5183
:A1_decode_step_2,PushPop,648714,648714,1,82,19410272,236710.6,242752.0,163200,309984,56797.7,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:A1_decode_step_2,PushPop,648714,648714,1,1,10118560,10118560.0,10118560.0,10118560,10118560,0.0,trt_ampere_h16816gemm_128x64_ldg8_nn_v1
:A1_decode_step_2,PushPop,648714,648714,1,28,7165120,255897.1,256176.0,248960,260864,3056.9,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_2,PushPop,648714,648714,1,28,6398176,228506.3,228624.0,227040,230208,806.3,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x64x64_stage4_warpsize2x2x1_tensor16x8x16_fused
:A1_decode_step_2,PushPop,648714,648714,1,28,1405024,50179.4,50128.0,49152,51200,596.6,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_2,PushPop,648714,648714,1,27,918720,34026.7,34016.0,33568,34528,275.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:A1_decode_step_2,PushPop,648714,648714,1,28,868160,31005.7,30784.0,30624,32576,469.3,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:A1_decode_step_2,PushPop,648714,648714,1,28,821792,29349.7,29312.0,28832,30528,339.1,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
:A1_decode_step_2,PushPop,648714,648714,1,28,449952,16069.7,15888.0,15744,17600,456.6,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:A1_decode_step_2,PushPop,648714,648714,1,27,373600,13837.0,13728.0,13600,14944,341.2,__myl_AddMulMeaAddSqrDivMulMul_0x37f7a26fc5e98dd1cffe0df41b34ef4f
:A1_decode_step_2,PushPop,648714,648714,1,28,351808,12564.6,12512.0,12416,13120,179.2,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:A1_decode_step_2,PushPop,648714,648714,1,28,336064,12002.3,11920.0,11808,12288,168.2,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:A1_decode_step_2,PushPop,648714,648714,1,1,299520,299520.0,299520.0,299520,299520,0.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
